Participant,Data,Selection Accuracy (percentage),Positional Error (cm),Rotational Error (deg),Target Position SD (m),Target Rotation SD (rad),Target Position Range (m),Target Rotation Range (rad)
Experiment 1,6991,77.78,0.76,0.8,0.070953221,0.116523954,1.089152952,1.452155058
Experiment 2,7481,93.55,0.57,0.68,0.078450088,0.091843459,1.188252311,1.459932722
Experiment 3,6776,75.86,1.37,1.54,1.259752877,0.858089364,5.093966564,3.114982633
Participant 1,2999,50,1.22,1.42,0.031310913,0.033092722,0.118030189,0.183625554
Participant 2,2414,71.43,1.07,1.32,0.157768211,0.330475057,0.946532591,1.433690441
Participant 3,3773,83.84,0.95,0.97,0.023933881,0.01596745,0.105911419,0.241944188
Participant 4,7503,80,0.6,0.76,0.02801555,0.025432306,0.185857403,0.239562542
Participant 5,9801,96.43,0.53,0.6,0.087637864,0.422727757,0.644390169,1.781391069
Participant 6,7583,100,0.47,0.63,0.029291515,0.046522625,0.36490432,0.853877475
Participant 7,1323,33.34,2.03,3.06,0.070001035,0.084186882,0.304746593,0.494096525
Participant 8,3926,58.34,1.25,1.43,0.101527385,0.227470474,0.689436707,0.101527385
