Participant,Before Camera Position Mean,Before Camera Position SD,After Camera Position Mean,After Camera Position SD,Before Camera Rotation Mean,Before Camera Rotation SD,After Camera Rotation Mean,After Camera Rotation SD
Emulation 1,1.9488543931401252,0.014131997758441144,0.46445914509698905,0.03411272876384489,4.444493769200154,0.07673965602532526,5.106664728778311,0.08057522223001451
Emulation 2,2.152091457392549,0.006156568608636355,0.5726819391824933,0.05444317568147897,3.036598118610827,0.0295866872278243,4.828414180520012,0.09042485748372371
Emulation 3,2.0334113946663326,0.7507594358382258,0.554542199165745,0.1782564393867602,4.17381313593377,0.6764197682530633,4.952662869239845,0.3002166047361104
Participant 1,3.516773055830759,0.5351986376320215,0.3608380977713769,0.0321619439905253,1.7641126356935535,0.44119599791821373,4.623537221394963,0.06749636134346655
Participant 2,2.1682131695009086,0.20373750295952966,0.4268825629834089,0.0408290405365578,3.9198392881653814,0.45485491336484496,4.458369676897318,0.14963045553770093
Participant 3,0.09711480736238767,0.02233242074689866,0.49670444621399756,0.026163555201100315,5.841006640484102,0.1927767475500248,4.307645561078764,0.060889072678752536
Participant 4,0.05555044426346115,0.018667426942299947,0.5102702209130406,0.025506130724678125,5.813532750308143,0.04457509037777993,4.449143491023084,0.04008739873445219
Participant 5,0.12740818614042662,0.014734393414346987,0.507505277483802,0.0213172711368295,5.5432649158769305,0.10102402073564061,2.0617847724769947,0.05754039887742919
Participant 6,0.03567125023883185,0.010600197302041156,0.6471607280387007,0.02179118174985303,5.817088226660161,0.053996720688349785,4.485098430947126,0.049655751618700145
Participant 7,0.20486363968117005,0.023435645508664546,0.4676547936201627,0.06872502900280482,5.81342268861103,0.09163439926382591,4.516678186113044,0.07774894824004741
Participant 8,0.16026719930309846,0.0880859517765046,0.4287498157968747,0.05029233321466278,5.700215584696061,0.15180499218376,4.435834826444794,0.10019206934208069
