"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1697488505988","(-0.075818, 0.384981, -0.023809)","(0.717770, 0.051611, 0.012689, 0.694249)","(-0.032978, 0.063999, -0.037439)","(0.511812, -0.121272, -0.228570, 0.819205)","(0.023467, 0.109488, -0.129539)","(0.172511, 0.050450, -0.299712, 0.936946)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697488506012","(-0.074730, 0.384844, -0.024278)","(0.718830, 0.051603, 0.014048, 0.693125)","(-0.032440, 0.064067, -0.037012)","(0.511812, -0.121272, -0.228570, 0.819205)","(0.024005, 0.109556, -0.129112)","(0.172511, 0.050450, -0.299712, 0.936946)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697488506030","(-0.074287, 0.384720, -0.023942)","(0.720383, 0.052757, 0.015054, 0.691404)","(-0.030957, 0.063511, -0.035087)","(0.512869, -0.117980, -0.229462, 0.818775)","(0.024751, 0.109219, -0.127439)","(0.171383, 0.054164, -0.299821, 0.936911)","(-0.001209, 0.018891, 0.002922)","(-0.116659, 0.000690, -0.041528, 0.992303)"
"1697488506046","(-0.102839, 0.354113, 0.057411)","(0.794142, 0.081633, 0.051832, 0.599991)","(-0.030140, 0.049483, -0.026139)","(0.611213, -0.064198, -0.210274, 0.760317)","(0.019815, 0.119765, -0.105156)","(0.275937, 0.099949, -0.252473, 0.922023)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697488506066","(-0.102526, 0.353955, 0.056822)","(0.794513, 0.082398, 0.053628, 0.599236)","(-0.028327, 0.049738, -0.026444)","(0.609545, -0.058338, -0.205812, 0.763344)","(0.020514, 0.120503, -0.105637)","(0.273933, 0.101374, -0.247533, 0.923803)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697488506085","(-0.101766, 0.353265, 0.056871)","(0.795317, 0.082607, 0.055864, 0.597935)","(-0.027807, 0.049777, -0.026050)","(0.609545, -0.058338, -0.205812, 0.763344)","(0.021034, 0.120543, -0.105243)","(0.273932, 0.101374, -0.247533, 0.923803)","(-0.000314, -0.000824, -0.000686)","(-0.000146, 0.000089, 0.000085, 1.000000)"
"1697488506118","(-0.101447, 0.354538, 0.057423)","(0.795761, 0.082465, 0.055635, 0.597385)","(-0.024641, 0.049754, -0.025626)","(0.610589, -0.051198, -0.198441, 0.764971)","(0.022782, 0.121917, -0.104474)","(0.275338, 0.104826, -0.238197, 0.925453)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697488506122","(-0.101433, 0.354981, 0.056904)","(0.795784, 0.081591, 0.053462, 0.597673)","(-0.021556, 0.049118, -0.025609)","(0.612715, -0.044103, -0.194479, 0.764731)","(0.024449, 0.122541, -0.104181)","(0.277937, 0.109661, -0.231785, 0.925744)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697488506141","(-0.101433, 0.354981, 0.056904)","(0.795784, 0.081591, 0.053462, 0.597673)","(-0.021556, 0.049118, -0.025609)","(0.612715, -0.044103, -0.194479, 0.764731)","(0.024449, 0.122541, -0.104181)","(0.277937, 0.109661, -0.231785, 0.925744)","(-0.000041, 0.002960, 0.001604)","(-0.012962, 0.002319, -0.007908, 0.999882)"
"1697488506164","(-0.106078, 0.348603, 0.063606)","(0.802897, 0.085698, 0.059846, 0.586882)","(-0.021052, 0.046407, -0.025980)","(0.623913, -0.036247, -0.186956, 0.757935)","(0.023743, 0.122736, -0.102364)","(0.289986, 0.112761, -0.221766, 0.924128)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
