"timestamp","scene name","event"
"1697488505952","02-TrackingScene","target_found"
"1697488507006","02-TrackingScene","Right MiddleTip"
"1697488507023","02-TrackingScene","Right RingTip"
"1697488507459","02-TrackingScene","Right IndexTip"
"1697488507989","02-TrackingScene","Right IndexTip"
"1697488508271","02-TrackingScene","Right IndexTip"
"1697488508273","02-TrackingScene","Right MiddleTip"
"1697488508276","02-TrackingScene","Right RingTip"
"1697488508408","02-TrackingScene","Right IndexTip"
"1697488508473","02-TrackingScene","Right IndexTip"
"1697488508527","02-TrackingScene","Right MiddleTip"
"1697488508529","02-TrackingScene","Right RingTip"
"1697488508814","02-TrackingScene","Right MiddleTip"
"1697488508815","02-TrackingScene","Right RingTip"
"1697488508975","02-TrackingScene","Right IndexTip"
"1697488508997","02-TrackingScene","Right PinkyTip"
"1697488509016","02-TrackingScene","Right RingTip"
"1697488509321","02-TrackingScene","Right IndexTip"
"1697488509363","02-TrackingScene","Right IndexTip"
"1697488509401","02-TrackingScene","Right ThumbTip"
"1697488509535","02-TrackingScene","Right Palm"
"1697488509955","02-TrackingScene","Right MiddleTip"
"1697488509957","02-TrackingScene","Right RingTip"
"1697488510685","02-TrackingScene","target_lost"
"1697488532549","02-TrackingScene","target_found"
"1697488532563","02-TrackingScene","Right IndexTip"
"1697488532566","02-TrackingScene","Right MiddleTip"
"1697488532864","02-TrackingScene","Right MiddleTip"
"1697488532906","02-TrackingScene","Right RingTip"
"1697488533022","02-TrackingScene","Right PinkyTip"
"1697488533177","02-TrackingScene","Right IndexTip"
"1697488533180","02-TrackingScene","Right PinkyTip"
"1697488534306","02-TrackingScene","Right IndexTip"
"1697488535471","02-TrackingScene","Right IndexTip"
"1697488536806","02-TrackingScene","Right IndexTip"
"1697488538759","02-TrackingScene","target_lost"
"1697488545030","02-TrackingScene","target_found"
"1697488545067","02-TrackingScene","Right IndexTip"
"1697488545085","02-TrackingScene","Right ThumbTip"
"1697488545090","02-TrackingScene","Right MiddleTip"
"1697488545091","02-TrackingScene","Right RingTip"
"1697488545114","02-TrackingScene","Right PinkyTip"
"1697488545333","02-TrackingScene","target_lost"
"1697488547059","02-TrackingScene","target_found"
"1697488547077","02-TrackingScene","Right MiddleTip"
