"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1686331572647","(0.069448, 0.523549, -0.142250)","(0.553555, -0.047119, -0.162397, 0.815466)","(-0.159743, -0.029344, -0.487256)","(0.691294, -0.189114, -0.275154, 0.640811)","(-0.063611, 0.037002, -0.509033)","(0.628598, -0.146533, -0.340451, 0.683729)","(-0.001551, 0.006981, -0.009906)","(-0.005218, -0.006611, -0.004433, 0.999955)"
"1686331572664","(0.064333, 0.518064, -0.127197)","(0.557337, -0.038563, -0.163263, 0.813162)","(-0.164153, -0.032636, -0.475571)","(0.693626, -0.180369, -0.277859, 0.639644)","(-0.068906, 0.034788, -0.497916)","(0.630536, -0.137443, -0.342326, 0.682896)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686331572680","(0.063878, 0.517448, -0.126721)","(0.557402, -0.038159, -0.163910, 0.813007)","(-0.163484, -0.031996, -0.474370)","(0.693586, -0.178401, -0.283613, 0.637711)","(-0.068221, 0.035058, -0.497757)","(0.627788, -0.133594, -0.348046, 0.683300)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686331572698","(0.063489, 0.516972, -0.126234)","(0.558144, -0.038199, -0.163649, 0.812549)","(-0.164435, -0.032219, -0.476350)","(0.708729, -0.191365, -0.277247, 0.619853)","(-0.068426, 0.034502, -0.497513)","(0.627639, -0.134652, -0.345324, 0.684609)","(-0.002347, 0.006600, -0.008871)","(-0.009832, -0.005885, -0.006064, 0.999916)"
"1686331572731","(0.057850, 0.512805, -0.107452)","(0.565334, -0.028006, -0.162253, 0.808262)","(-0.168242, -0.031843, -0.468865)","(0.744586, -0.199545, -0.260159, 0.581456)","(-0.073510, 0.036723, -0.486852)","(0.632910, -0.125244, -0.340871, 0.683773)","(-0.003018, 0.006939, -0.007887)","(0.002188, -0.006555, -0.004255, 0.999967)"
"1686331572748","(0.054242, 0.505243, -0.101968)","(0.565067, -0.020103, -0.161938, 0.808747)","(-0.171725, -0.042234, -0.458319)","(0.747110, -0.200614, -0.251643, 0.581598)","(-0.077962, 0.026958, -0.477202)","(0.626240, -0.123494, -0.337633, 0.691792)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686331572768","(0.053631, 0.505094, -0.101487)","(0.565840, -0.020155, -0.161723, 0.808248)","(-0.171461, -0.042344, -0.457949)","(0.744845, -0.200585, -0.246595, 0.586654)","(-0.078061, 0.027128, -0.477020)","(0.623814, -0.124935, -0.334728, 0.695130)","(-0.003714, 0.006107, -0.006443)","(0.003386, -0.005126, -0.011017, 0.999921)"
"1686331572779","(0.044708, 0.499163, -0.098203)","(0.562872, -0.010351, -0.155814, 0.811659)","(-0.171225, -0.054530, -0.450979)","(0.749644, -0.200525, -0.226388, 0.588704)","(-0.079603, 0.016357, -0.469759)","(0.619180, -0.126971, -0.322519, 0.704611)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686331572799","(0.044069, 0.498892, -0.097696)","(0.563016, -0.010173, -0.156125, 0.811501)","(-0.172170, -0.052845, -0.451512)","(0.746602, -0.210869, -0.218176, 0.592046)","(-0.079758, 0.017228, -0.469456)","(0.616440, -0.139020, -0.316650, 0.707396)","(-0.004017, 0.006456, -0.004798)","(0.000359, -0.002301, -0.004085, 0.999989)"
"1686331572831","(0.042837, 0.492297, -0.093121)","(0.562535, -0.006124, -0.154169, 0.812249)","(-0.169012, -0.061010, -0.446274)","(0.752703, -0.205222, -0.211634, 0.588671)","(-0.077978, 0.009926, -0.464300)","(0.616216, -0.134217, -0.315435, 0.709059)","(-0.004115, 0.007851, -0.004432)","(0.005766, -0.002603, -0.001928, 0.999978)"
"1686331572844","(0.042713, 0.483223, -0.094215)","(0.558264, -0.004614, -0.153510, 0.815325)","(-0.165097, -0.072540, -0.438382)","(0.734757, -0.194723, -0.211055, 0.614549)","(-0.075203, -0.000730, -0.459811)","(0.612941, -0.134640, -0.311179, 0.713683)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686331572865","(0.041670, 0.483182, -0.094096)","(0.559655, -0.005057, -0.153384, 0.814392)","(-0.164550, -0.072743, -0.437604)","(0.733954, -0.191654, -0.210346, 0.616713)","(-0.075096, -0.000661, -0.459727)","(0.613520, -0.134351, -0.311672, 0.713025)","(-0.004485, 0.007122, -0.003798)","(0.005183, -0.001603, -0.007168, 0.999960)"
"1686331572881","(0.037925, 0.476022, -0.094882)","(0.556583, -0.001527, -0.148025, 0.817497)","(-0.160247, -0.086438, -0.432412)","(0.731765, -0.186486, -0.206101, 0.622307)","(-0.071907, -0.013316, -0.455573)","(0.610263, -0.130420, -0.306835, 0.718625)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686331572899","(0.036808, 0.476073, -0.094485)","(0.556967, -0.002463, -0.147800, 0.817274)","(-0.160118, -0.086082, -0.432829)","(0.733099, -0.185983, -0.210425, 0.619434)","(-0.071527, -0.013372, -0.456004)","(0.611126, -0.129840, -0.312157, 0.715699)","(-0.004271, 0.006418, -0.002882)","(-0.000291, -0.001694, -0.014120, 0.999899)"
"1686331572931","(0.026411, 0.470962, -0.090995)","(0.557298, 0.005952, -0.137343, 0.818853)","(-0.153821, -0.096170, -0.429714)","(0.738201, -0.170147, -0.212109, 0.617349)","(-0.067387, -0.021021, -0.453492)","(0.614564, -0.113507, -0.310494, 0.716255)","(-0.003908, 0.005614, -0.002738)","(0.002946, -0.002657, -0.014824, 0.999882)"
"1686331572944","(0.013428, 0.466077, -0.090612)","(0.553775, 0.014972, -0.126559, 0.822856)","(-0.148192, -0.108547, -0.424241)","(0.733407, -0.147381, -0.221337, 0.625623)","(-0.064442, -0.030620, -0.450913)","(0.616039, -0.091555, -0.311352, 0.717756)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686331572963","(0.011853, 0.466503, -0.090708)","(0.553168, 0.014521, -0.126682, 0.823254)","(-0.148126, -0.108280, -0.424261)","(0.733407, -0.147381, -0.221337, 0.625623)","(-0.064376, -0.030353, -0.450932)","(0.616040, -0.091555, -0.311352, 0.717756)","null","null"
