"timestamp","scene name","event"
"1686331492315","02-TrackingScene","target_found"
"1686331492336","02-TrackingScene","Left PinkyTip"
"1686331492338","02-TrackingScene","Left MiddleTip"
"1686331492339","02-TrackingScene","Left ThumbTip"
"1686331492340","02-TrackingScene","Left IndexTip"
"1686331492356","02-TrackingScene","Left Palm"
"1686331492358","02-TrackingScene","Left RingTip"
"1686331492470","02-TrackingScene","Left RingTip"
"1686331492471","02-TrackingScene","Left MiddleTip"
"1686331492598","02-TrackingScene","Left MiddleTip"
"1686331492681","02-TrackingScene","Left Palm"
"1686331492770","02-TrackingScene","Left PinkyTip"
"1686331492846","02-TrackingScene","Left MiddleTip"
"1686331492879","02-TrackingScene","Left PinkyTip"
"1686331492948","02-TrackingScene","Left RingTip"
"1686331493381","02-TrackingScene","Left RingTip"
"1686331493383","02-TrackingScene","Left MiddleTip"
"1686331493385","02-TrackingScene","Left IndexTip"
"1686331493463","02-TrackingScene","Left PinkyTip"
"1686331493465","02-TrackingScene","Left ThumbTip"
"1686331493721","02-TrackingScene","Left RingTip"
"1686331493817","02-TrackingScene","Left RingTip"
"1686331494098","02-TrackingScene","Left RingTip"
"1686331494099","02-TrackingScene","Left PinkyTip"
"1686331494550","02-TrackingScene","target_lost"
"1686331572618","02-TrackingScene","target_found"
"1686331574081","02-TrackingScene","Right ThumbTip"
"1686331574101","02-TrackingScene","Right IndexTip"
"1686331574167","02-TrackingScene","Right Palm"
"1686331574236","02-TrackingScene","Right Palm"
"1686331574400","02-TrackingScene","Right Palm"
"1686331574601","02-TrackingScene","Right Palm"
"1686331574686","02-TrackingScene","Right Palm"
"1686331574802","02-TrackingScene","Right IndexTip"
"1686331574848","02-TrackingScene","Right Palm"
"1686331575167","02-TrackingScene","Right IndexTip"
"1686331575235","02-TrackingScene","Right MiddleTip"
"1686331575334","02-TrackingScene","Right ThumbTip"
"1686331575419","02-TrackingScene","Right PinkyTip"
"1686331575421","02-TrackingScene","Right RingTip"
"1686331575468","02-TrackingScene","Right Palm"
"1686331576348","02-TrackingScene","Right IndexTip"
"1686331576401","02-TrackingScene","Right MiddleTip"
"1686331576437","02-TrackingScene","Right Palm"
"1686331576468","02-TrackingScene","Right ThumbTip"
"1686331576549","02-TrackingScene","Right PinkyTip"
"1686331576567","02-TrackingScene","Right RingTip"
"1686331576845","02-TrackingScene","Right IndexTip"
"1686331577033","02-TrackingScene","Right IndexTip"
"1686331577134","02-TrackingScene","Right Palm"
"1686331577366","02-TrackingScene","Right MiddleTip"
"1686331577400","02-TrackingScene","Right PinkyTip"
"1686331577402","02-TrackingScene","Right RingTip"
"1686331577435","02-TrackingScene","Right Palm"
"1686331577534","02-TrackingScene","Right ThumbTip"
"1686331577570","02-TrackingScene","Right Palm"
"1686331577736","02-TrackingScene","Right Palm"
"1686331578136","02-TrackingScene","Right Palm"
"1686331578434","02-TrackingScene","Right ThumbTip"
"1686331578448","02-TrackingScene","Right Palm"
"1686331578866","02-TrackingScene","Right Palm"
"1686331578868","02-TrackingScene","Right RingTip"
"1686331578900","02-TrackingScene","Right PinkyTip"
"1686331579021","02-TrackingScene","Right IndexTip"
"1686331579084","02-TrackingScene","Right Palm"
"1686331579501","02-TrackingScene","Right Palm"
"1686331579502","02-TrackingScene","Right ThumbTip"
"1686331579603","02-TrackingScene","Right Palm"
"1686331579884","02-TrackingScene","Right Palm"
"1686331580101","02-TrackingScene","Right Palm"
"1686331580150","02-TrackingScene","Right Palm"
"1686331580470","02-TrackingScene","Right MiddleTip"
"1686331580502","02-TrackingScene","Right IndexTip"
"1686331580852","02-TrackingScene","Right Palm"
"1686331580888","02-TrackingScene","Right PinkyTip"
"1686331580905","02-TrackingScene","Right RingTip"
"1686331581037","02-TrackingScene","Right ThumbTip"
"1686331581148","02-TrackingScene","Right Palm"
"1686331581602","02-TrackingScene","Right IndexTip"
"1686331581650","02-TrackingScene","Right IndexTip"
"1686331581682","02-TrackingScene","Right IndexTip"
"1686331583089","02-TrackingScene","Right IndexTip"
"1686331583132","02-TrackingScene","Right MiddleTip"
"1686331583335","02-TrackingScene","Right PinkyTip"
"1686331583349","02-TrackingScene","Right RingTip"
"1686331583450","02-TrackingScene","Right Palm"
"1686331583485","02-TrackingScene","Right ThumbTip"
"1686331584070","02-TrackingScene","Right IndexTip"
"1686331584134","02-TrackingScene","Right Palm"
"1686331584183","02-TrackingScene","Right Palm"
"1686331584199","02-TrackingScene","Right ThumbTip"
"1686331584248","02-TrackingScene","Right Palm"
"1686331584683","02-TrackingScene","Right Palm"
"1686331584800","02-TrackingScene","Right MiddleTip"
"1686331585302","02-TrackingScene","Right IndexTip"
"1686331585402","02-TrackingScene","Right MiddleTip"
"1686331585599","02-TrackingScene","Right Palm"
"1686331586343","02-TrackingScene","Right IndexTip"
"1686331586344","02-TrackingScene","Right MiddleTip"
"1686331586431","02-TrackingScene","Right Palm"
"1686331586434","02-TrackingScene","Right RingTip"
"1686331586486","02-TrackingScene","Right PinkyTip"
"1686331586502","02-TrackingScene","Right MiddleTip"
"1686331586649","02-TrackingScene","Right Palm"
"1686331586767","02-TrackingScene","Right Palm"
"1686331586869","02-TrackingScene","Right Palm"
"1686331587037","02-TrackingScene","Right IndexTip"
"1686331587067","02-TrackingScene","Right IndexTip"
"1686331588184","02-TrackingScene","Right ThumbTip"
"1686331588202","02-TrackingScene","Right Palm"
"1686331588668","02-TrackingScene","Right IndexTip"
"1686331588749","02-TrackingScene","Right Palm"
"1686331588934","02-TrackingScene","Right MiddleTip"
"1686331589253","02-TrackingScene","Right MiddleTip"
"1686331589298","02-TrackingScene","Right IndexTip"
"1686331589334","02-TrackingScene","Right Palm"
"1686331589368","02-TrackingScene","Right Palm"
"1686331589435","02-TrackingScene","Right PinkyTip"
"1686331589436","02-TrackingScene","Right RingTip"
