"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1697312670039","(-0.115618, 0.463364, 0.358824)","(0.813263, 0.049511, -0.046933, 0.577883)","(0.006241, 0.018884, 0.034128)","(0.620316, 0.075636, -0.115388, 0.772123)","(0.042660, 0.123176, -0.007570)","(0.532083, 0.096833, -0.236613, 0.807171)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697312670065","(-0.115618, 0.463364, 0.358824)","(0.813263, 0.049511, -0.046933, 0.577883)","(0.006241, 0.018884, 0.034128)","(0.620316, 0.075636, -0.115388, 0.772123)","(0.042660, 0.123176, -0.007570)","(0.532083, 0.096833, -0.236613, 0.807171)","(0.000694, 0.003689, -0.000084)","(0.039659, 0.003881, -0.005228, 0.999192)"
"1697312670085","(-0.123519, 0.485408, 0.320300)","(0.789561, 0.050538, -0.042955, 0.610077)","(0.006671, 0.018104, 0.033399)","(0.587180, 0.078223, -0.123656, 0.796122)","(0.042187, 0.118655, -0.017256)","(0.496771, 0.094151, -0.245428, 0.827115)","(0.000583, -0.004187, -0.000134)","(-0.036493, -0.009331, 0.008292, 0.999256)"
"1697312670097","(-0.109831, 0.466753, 0.357373)","(0.811187, 0.051535, -0.053758, 0.580027)","(0.008354, 0.019818, 0.035148)","(0.612469, 0.086762, -0.134599, 0.774104)","(0.044473, 0.122944, -0.009550)","(0.521900, 0.107713, -0.255120, 0.806804)","(0.000559, -0.000905, -0.001264)","(0.000993, -0.006714, 0.005440, 0.999962)"
"1697312670124","(-0.100183, 0.469396, 0.359126)","(0.810437, 0.051051, -0.062780, 0.580210)","(0.008508, 0.020706, 0.036261)","(0.611246, 0.088491, -0.143004, 0.773368)","(0.045141, 0.123347, -0.009130)","(0.519953, 0.110034, -0.263110, 0.805180)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697312670138","(-0.099890, 0.469263, 0.359069)","(0.810197, 0.051210, -0.063202, 0.580486)","(0.009292, 0.020769, 0.035665)","(0.613074, 0.089851, -0.143480, 0.771674)","(0.045808, 0.123571, -0.009335)","(0.520633, 0.111096, -0.263977, 0.804311)","(-0.000701, 0.004089, 0.000280)","(0.037972, 0.011193, -0.013734, 0.999122)"
"1697312670163","(-0.119737, 0.488006, 0.319905)","(0.787338, 0.053310, -0.048108, 0.612326)","(0.009112, 0.020084, 0.034061)","(0.583343, 0.086443, -0.131924, 0.796765)","(0.043871, 0.119942, -0.018039)","(0.490019, 0.098892, -0.255905, 0.827415)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697312670180","(-0.119324, 0.487883, 0.319903)","(0.787415, 0.053634, -0.047627, 0.612236)","(0.009906, 0.020131, 0.034160)","(0.584443, 0.089781, -0.136154, 0.794876)","(0.044510, 0.119817, -0.018134)","(0.489073, 0.100821, -0.261676, 0.825935)","(-0.001335, -0.001629, 0.000484)","(-0.011384, 0.004154, -0.005542, 0.999911)"
"1697312670197","(-0.125866, 0.480660, 0.329675)","(0.794327, 0.056330, -0.039792, 0.603563)","(0.011246, 0.020970, 0.034345)","(0.593509, 0.091259, -0.128286, 0.789280)","(0.045161, 0.122197, -0.015377)","(0.498961, 0.103070, -0.253895, 0.822163)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697312670231","(-0.125594, 0.480495, 0.330075)","(0.793452, 0.056128, -0.038598, 0.604809)","(0.011823, 0.021139, 0.033548)","(0.589509, 0.094063, -0.130924, 0.791512)","(0.045514, 0.122084, -0.016875)","(0.496404, 0.105282, -0.256193, 0.822717)","(-0.000483, 0.000537, 0.000099)","(0.002825, -0.000749, 0.002525, 0.999993)"
"1697312670244","(-0.122027, 0.482261, 0.327650)","(0.790563, 0.054388, -0.040036, 0.608645)","(0.012521, 0.020765, 0.033054)","(0.589288, 0.092610, -0.133127, 0.791480)","(0.046684, 0.121193, -0.017995)","(0.493010, 0.103578, -0.258950, 0.824110)","(-0.000413, 0.001082, 0.000033)","(0.004011, -0.000116, -0.003407, 0.999986)"
"1697312670261","(-0.124867, 0.482967, 0.323571)","(0.787300, 0.056818, -0.038349, 0.612748)","(0.012652, 0.019808, 0.032920)","(0.587529, 0.095096, -0.129218, 0.793139)","(0.045844, 0.120125, -0.018833)","(0.488451, 0.104459, -0.255622, 0.827745)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697312670276","(-0.124825, 0.482947, 0.323419)","(0.787074, 0.056927, -0.038630, 0.613011)","(0.013049, 0.019200, 0.032700)","(0.588543, 0.096439, -0.126997, 0.792584)","(0.045764, 0.119755, -0.018798)","(0.489135, 0.105386, -0.253378, 0.827913)","(-0.000381, 0.000443, -0.000035)","(-0.003015, 0.001204, -0.000786, 0.999995)"
"1697312670302","(-0.126061, 0.480295, 0.326060)","(0.789016, 0.057003, -0.037511, 0.610572)","(0.013672, 0.018441, 0.032879)","(0.591007, 0.096330, -0.125374, 0.791020)","(0.046351, 0.119357, -0.017932)","(0.491851, 0.105537, -0.251820, 0.826760)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697312670318","(-0.125930, 0.480280, 0.326222)","(0.789183, 0.056759, -0.038136, 0.610340)","(0.013896, 0.018099, 0.033049)","(0.589854, 0.096619, -0.122342, 0.792319)","(0.046127, 0.119086, -0.017926)","(0.491402, 0.105222, -0.248370, 0.828109)","(0.000037, -0.000345, -0.000806)","(0.000010, 0.000574, 0.000717, 1.000000)"
"1697312670354","(-0.125557, 0.480742, 0.326943)","(0.789159, 0.055794, -0.038286, 0.610450)","(0.014502, 0.018069, 0.033532)","(0.593577, 0.096078, -0.120718, 0.789850)","(0.046579, 0.119340, -0.016934)","(0.493307, 0.105364, -0.245574, 0.827793)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697312670374","(-0.125416, 0.480735, 0.326717)","(0.789154, 0.055726, -0.038430, 0.610453)","(0.014759, 0.017862, 0.033452)","(0.595586, 0.096434, -0.122980, 0.787943)","(0.046923, 0.119076, -0.016946)","(0.493464, 0.105745, -0.246888, 0.827259)","(0.000171, 0.000361, 0.000330)","(0.000729, -0.004428, 0.000113, 0.999990)"
"1697312670389","(-0.122380, 0.480991, 0.326818)","(0.788879, 0.058898, -0.041692, 0.610298)","(0.015102, 0.017452, 0.032972)","(0.594472, 0.099765, -0.125776, 0.787928)","(0.046841, 0.118585, -0.017855)","(0.491774, 0.109171, -0.249241, 0.827115)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
