"timestamp","scene name","event"
"1697312670021","02-TrackingScene","target_found"
"1697312670037","02-TrackingScene","Right IndexTip"
"1697312670234","02-TrackingScene","Right IndexTip"
"1697312670548","02-TrackingScene","Right MiddleTip"
"1697312671411","02-TrackingScene","Right MiddleTip"
"1697312672566","02-TrackingScene","Right IndexTip"
"1697312673711","02-TrackingScene","Right IndexTip"
"1697312674416","02-TrackingScene","Right IndexTip"
"1697312674572","02-TrackingScene","Right MiddleTip"
"1697312674718","02-TrackingScene","Right MiddleTip"
"1697312675887","02-TrackingScene","Right ThumbTip"
"1697312676519","02-TrackingScene","Right IndexTip"
"1697312677261","02-TrackingScene","Right IndexTip"
"1697312678314","02-TrackingScene","Right IndexTip"
"1697312679941","02-TrackingScene","Right MiddleTip"
"1697312681012","02-TrackingScene","Right IndexTip"
"1697312681381","02-TrackingScene","Right MiddleTip"
"1697312681768","02-TrackingScene","Right IndexTip"
"1697312682040","02-TrackingScene","Right MiddleTip"
"1697312682391","02-TrackingScene","Right MiddleTip"
"1697312683044","02-TrackingScene","target_lost"
"1697312694229","02-TrackingScene","target_found"
"1697312694609","02-TrackingScene","Right IndexTip"
"1697312694915","02-TrackingScene","Right MiddleTip"
"1697312695818","02-TrackingScene","Right IndexTip"
"1697312696683","02-TrackingScene","Right IndexTip"
"1697312696775","02-TrackingScene","Right MiddleTip"
"1697312696975","02-TrackingScene","Right MiddleTip"
"1697312697696","02-TrackingScene","Right IndexTip"
"1697312700028","02-TrackingScene","Right IndexTip"
"1697312701449","02-TrackingScene","Right MiddleTip"
"1697312702022","02-TrackingScene","Right MiddleTip"
"1697312705732","02-TrackingScene","Right IndexTip"
"1697312711129","02-TrackingScene","Right IndexTip"
"1697312712919","02-TrackingScene","Right MiddleTip"
"1697312714167","02-TrackingScene","Right ThumbTip"
"1697312714204","02-TrackingScene","Right MiddleTip"
"1697312714729","02-TrackingScene","Right MiddleTip"
"1697312715187","02-TrackingScene","Right MiddleTip"
"1697312719824","02-TrackingScene","Right ThumbTip"
"1697312720123","02-TrackingScene","Right MiddleTip"
"1697312721653","02-TrackingScene","Right MiddleTip"
"1697312721765","02-TrackingScene","Right ThumbTip"
"1697312721916","02-TrackingScene","Right IndexTip"
"1697312722757","02-TrackingScene","Right MiddleTip"
"1697312723810","02-TrackingScene","Right MiddleTip"
"1697312725064","02-TrackingScene","Right MiddleTip"
"1697312725331","02-TrackingScene","Right ThumbTip"
"1697312727108","02-TrackingScene","Right ThumbTip"
"1697312727330","02-TrackingScene","Right IndexTip"
"1697312728644","02-TrackingScene","target_lost"
"1697312736635","02-TrackingScene","target_found"
"1697312737675","02-TrackingScene","target_lost"
"1697312746760","02-TrackingScene","target_found"
"1697312746782","02-TrackingScene","Right IndexTip"
"1697312746922","02-TrackingScene","Right MiddleTip"
"1697312747739","02-TrackingScene","Right IndexTip"
"1697312748502","02-TrackingScene","Right IndexTip"
"1697312750230","02-TrackingScene","Right IndexTip"
"1697312751491","02-TrackingScene","Right IndexTip"
"1697312753231","02-TrackingScene","Right IndexTip"
"1697312753331","02-TrackingScene","Right ThumbTip"
"1697312753381","02-TrackingScene","Right Palm"
"1697312753646","02-TrackingScene","Right IndexTip"
"1697312754420","02-TrackingScene","Right IndexTip"
"1697312757890","02-TrackingScene","target_lost"
"1697312761066","02-TrackingScene","target_found"
"1697312761082","02-TrackingScene","Right IndexTip"
"1697312761132","02-TrackingScene","Right MiddleTip"
"1697312761306","02-TrackingScene","Right MiddleTip"
"1697312761589","02-TrackingScene","Right RingTip"
"1697312762124","02-TrackingScene","Right IndexTip"
"1697312763206","02-TrackingScene","Right IndexTip"
"1697312764277","02-TrackingScene","Right IndexTip"
"1697312764618","02-TrackingScene","Right ThumbTip"
"1697312765171","02-TrackingScene","Right MiddleTip"
