"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1686332630734","(-0.083238, 0.538251, -0.009391)","(0.553407, 0.134191, -0.054656, 0.820211)","(0.781361, -0.862057, 1.000380)","(0.020684, 0.988406, -0.138937, 0.057644)","(0.742387, -0.920079, 1.022658)","(-0.084925, 0.443302, 0.859266, 0.240691)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686332630764","(-0.082937, 0.538156, -0.009289)","(0.553601, 0.134369, -0.055074, 0.820023)","(0.781361, -0.862057, 1.000380)","(0.020684, 0.988406, -0.138937, 0.057644)","(0.742387, -0.920079, 1.022658)","(-0.084925, 0.443302, 0.859266, 0.240691)","null","null"
"1686332630803","(-0.075923, 0.533872, -0.012504)","(0.547202, 0.137431, -0.061691, 0.823333)","(0.791077, -0.856251, 1.006540)","(0.021441, 0.987740, -0.145106, 0.053425)","(0.752094, -0.913864, 1.029843)","(-0.082056, 0.449640, 0.856499, 0.239793)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686332630816","(-0.075721, 0.533613, -0.012555)","(0.547048, 0.137388, -0.061997, 0.823420)","(0.791077, -0.856251, 1.006540)","(0.021441, 0.987740, -0.145106, 0.053425)","(0.752094, -0.913864, 1.029843)","(-0.082056, 0.449640, 0.856499, 0.239793)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686332630848","(-0.075539, 0.533252, -0.012586)","(0.546958, 0.137341, -0.062381, 0.823458)","(0.791077, -0.856251, 1.006540)","(0.021441, 0.987740, -0.145106, 0.053425)","(0.752094, -0.913864, 1.029843)","(-0.082056, 0.449640, 0.856499, 0.239793)","(-0.002059, 0.001880, -0.001480)","(-0.002319, 0.002030, -0.000226, 0.999995)"
"1686332630865","(-0.073475, 0.531072, -0.008974)","(0.550162, 0.135144, -0.061557, 0.821747)","(0.789435, -0.862446, 1.007242)","(0.021636, 0.987968, -0.142759, 0.055413)","(0.750384, -0.920184, 1.030119)","(-0.083340, 0.447147, 0.857425, 0.240701)","(-0.002377, 0.002699, -0.002800)","(-0.005375, 0.000371, -0.004807, 0.999974)"
"1686332630882","(-0.076138, 0.527658, -0.000593)","(0.554171, 0.137452, -0.057012, 0.818994)","(0.799398, -0.868306, 1.001316)","(0.017237, 0.988793, -0.137171, 0.056348)","(0.760889, -0.926659, 1.023540)","(-0.084512, 0.442037, 0.860932, 0.237186)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686332630899","(-0.076100, 0.527410, -0.000597)","(0.554895, 0.137092, -0.057176, 0.818553)","(0.799398, -0.868306, 1.001316)","(0.017237, 0.988793, -0.137171, 0.056348)","(0.760889, -0.926659, 1.023540)","(-0.084512, 0.442037, 0.860932, 0.237186)","(-0.001714, 0.001747, -0.003797)","(-0.003566, -0.000163, -0.010977, 0.999933)"
"1686332630913","(-0.085901, 0.523808, 0.007205)","(0.556482, 0.143052, -0.048019, 0.817042)","(0.820424, -0.859398, 0.998682)","(0.006560, 0.989415, -0.133020, 0.057627)","(0.783215, -0.918739, 1.020499)","(-0.088372, 0.438048, 0.865068, 0.227949)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686332630951","(-0.085959, 0.523645, 0.007301)","(0.556285, 0.142802, -0.048501, 0.817192)","(0.820424, -0.859398, 0.998682)","(0.006560, 0.989415, -0.133020, 0.057627)","(0.783215, -0.918739, 1.020499)","(-0.088372, 0.438048, 0.865068, 0.227949)","(-0.001380, 0.002331, -0.005125)","(0.006118, -0.001911, -0.005242, 0.999966)"
"1686332630971","(-0.090076, 0.520275, 0.005940)","(0.552482, 0.146388, -0.047113, 0.819216)","(0.834580, -0.840717, 1.011057)","(0.000766, 0.988712, -0.138780, 0.056472)","(0.798078, -0.900172, 1.033742)","(-0.090407, 0.443298, 0.863722, 0.222029)","(-0.000953, 0.002016, -0.005926)","(0.006914, -0.006371, 0.003502, 0.999950)"
"1686332630996","(-0.085443, 0.518752, 0.005787)","(0.547402, 0.149339, -0.054871, 0.821607)","(0.842625, -0.834541, 1.017888)","(0.002954, 0.988060, -0.145811, 0.049689)","(0.806006, -0.893417, 1.041856)","(-0.084882, 0.450979, 0.860413, 0.221593)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686332631014","(-0.085425, 0.518862, 0.005989)","(0.547600, 0.149660, -0.055364, 0.821384)","(0.842625, -0.834541, 1.017888)","(0.002954, 0.988060, -0.145811, 0.049689)","(0.806006, -0.893417, 1.041856)","(-0.084882, 0.450979, 0.860413, 0.221593)","(-0.000699, 0.001637, -0.005287)","(0.002969, -0.005003, 0.002722, 0.999979)"
"1686332631032","(-0.081840, 0.517584, 0.008996)","(0.545179, 0.152392, -0.060799, 0.822107)","(0.848995, -0.834720, 1.019668)","(0.004767, 0.987847, -0.148891, 0.044357)","(0.812300, -0.893253, 1.044352)","(-0.080006, 0.454864, 0.858877, 0.221422)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686332631045","(-0.081971, 0.517486, 0.008879)","(0.545286, 0.152471, -0.060578, 0.822038)","(0.848995, -0.834720, 1.019668)","(0.004767, 0.987847, -0.148891, 0.044357)","(0.812300, -0.893253, 1.044352)","(-0.080006, 0.454864, 0.858877, 0.221422)","(-0.001054, 0.002730, -0.003817)","(-0.001504, -0.003167, 0.002892, 0.999990)"
"1686332631057","(-0.077934, 0.515196, 0.014906)","(0.546762, 0.153682, -0.064463, 0.820535)","(0.851639, -0.845438, 1.015566)","(0.007219, 0.988187, -0.147548, 0.040790)","(0.814762, -0.903833, 1.040307)","(-0.075637, 0.454500, 0.859166, 0.222584)","(-0.001493, 0.002660, -0.002959)","(-0.001090, -0.001459, 0.001386, 0.999997)"
"1686332631082","(-0.075005, 0.512679, 0.019398)","(0.547335, 0.154320, -0.066294, 0.819887)","(0.853739, -0.852680, 1.014180)","(0.008418, 0.988395, -0.146537, 0.039136)","(0.816772, -0.911026, 1.038902)","(-0.073511, 0.453992, 0.859461, 0.223194)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686332631101","(-0.075246, 0.512470, 0.019609)","(0.546092, 0.153921, -0.065999, 0.820814)","(0.853739, -0.852680, 1.014180)","(0.008418, 0.988395, -0.146537, 0.039136)","(0.816772, -0.911026, 1.038902)","(-0.073511, 0.453992, 0.859461, 0.223194)","(-0.001956, 0.003914, -0.002105)","(-0.001745, -0.001275, -0.013034, 0.999913)"
"1686332631117","(-0.086579, 0.505948, 0.023461)","(0.544902, 0.161538, -0.055602, 0.820912)","(0.880362, -0.837504, 1.011114)","(-0.004584, 0.988724, -0.144299, 0.039768)","(0.844993, -0.896879, 1.035723)","(-0.077936, 0.451778, 0.863181, 0.211522)","(-0.002038, 0.003718, -0.001781)","(-0.011842, -0.002154, -0.013211, 0.999840)"
"1686332631134","(-0.097720, 0.498784, 0.037359)","(0.552628, 0.170330, -0.043979, 0.814651)","(-0.035237, 0.202036, -0.104188)","(0.810240, -0.392561, 0.171026, 0.400197)","(0.036721, 0.211644, -0.122581)","(-0.113551, -0.284206, -0.454329, 0.836611)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686332631165","(-0.097652, 0.498785, 0.037684)","(0.552694, 0.169006, -0.044017, 0.814880)","(-0.034412, 0.183738, -0.100850)","(0.829167, -0.363307, 0.180985, 0.384363)","(0.037643, 0.200657, -0.120670)","(-0.070958, -0.272528, -0.418016, 0.863688)","(-0.002270, 0.002999, -0.001187)","(0.000516, 0.000271, -0.005268, 0.999986)"
"1686332631194","(-0.100282, 0.494434, 0.038881)","(0.549196, 0.168503, -0.039223, 0.817589)","(-0.030712, 0.162689, -0.096605)","(0.846258, -0.343753, 0.156047, 0.375939)","(0.040902, 0.185194, -0.119059)","(-0.031733, -0.245081, -0.401547, 0.881866)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686332631210","(-0.100214, 0.493880, 0.038315)","(0.549040, 0.166881, -0.039818, 0.817998)","(-0.026368, 0.144105, -0.094308)","(0.874743, -0.320782, 0.118137, 0.343463)","(0.043037, 0.172308, -0.119013)","(0.022702, -0.196841, -0.395227, 0.896958)","(-0.002406, 0.001986, -0.000608)","(0.002130, 0.000672, 0.001113, 0.999997)"
"1686332631224","(-0.096597, 0.492003, 0.036772)","(0.548353, 0.164452, -0.041488, 0.818867)","(-0.022058, 0.139347, -0.095012)","(0.873573, -0.321733, 0.119026, 0.345242)","(0.047442, 0.167290, -0.119744)","(0.020838, -0.198311, -0.395790, 0.896431)","(-0.002127, 0.000113, -0.000504)","(0.002031, 0.001892, 0.003725, 0.999989)"
"1686332631241","(-0.090842, 0.492588, 0.035108)","(0.547933, 0.159846, -0.045070, 0.819871)","(-0.013646, 0.102946, -0.085043)","(0.867594, -0.232363, 0.043444, 0.437493)","(0.051495, 0.150910, -0.118697)","(0.115584, -0.120931, -0.328701, 0.929501)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686332631255","(-0.090660, 0.492529, 0.035424)","(0.548082, 0.158823, -0.046149, 0.819910)","(-0.013129, 0.090920, -0.070892)","(0.795381, -0.192472, -0.004677, 0.574720)","(0.051552, 0.145845, -0.117576)","(0.149502, -0.094732, -0.298034, 0.938004)","(-0.001312, -0.000748, 0.001026)","(0.001540, 0.001681, 0.005223, 0.999984)"
