"timestamp","scene name","event"
"1686332496974","02-TrackingScene","target_found"
"1686332496991","02-TrackingScene","Left MiddleTip"
"1686332496993","02-TrackingScene","Left ThumbTip"
"1686332496995","02-TrackingScene","Left IndexTip"
"1686332497066","02-TrackingScene","Left MiddleTip"
"1686332497099","02-TrackingScene","Left MiddleTip"
"1686332497207","02-TrackingScene","Left MiddleTip"
"1686332497450","02-TrackingScene","Left MiddleTip"
"1686332497585","02-TrackingScene","Left PinkyTip"
"1686332497616","02-TrackingScene","Left PinkyTip"
"1686332497649","02-TrackingScene","Left RingTip"
"1686332498055","02-TrackingScene","target_lost"
"1686332628751","02-TrackingScene","target_found"
"1686332631722","02-TrackingScene","Right MiddleTip"
"1686332631770","02-TrackingScene","Right Palm"
"1686332631796","02-TrackingScene","Right ThumbTip"
"1686332631869","02-TrackingScene","Right IndexTip"
"1686332632010","02-TrackingScene","Right Palm"
"1686332632469","02-TrackingScene","Right ThumbTip"
"1686332632470","02-TrackingScene","Right MiddleTip"
"1686332632503","02-TrackingScene","Right Palm"
"1686332632506","02-TrackingScene","Right IndexTip"
"1686332632688","02-TrackingScene","Right Palm"
"1686332633026","02-TrackingScene","Right ThumbTip"
"1686332633102","02-TrackingScene","Right Palm"
"1686332633104","02-TrackingScene","Right IndexTip"
"1686332633106","02-TrackingScene","Right MiddleTip"
"1686332633192","02-TrackingScene","Right Palm"
"1686332633354","02-TrackingScene","Right ThumbTip"
"1686332633355","02-TrackingScene","Right MiddleTip"
"1686332633370","02-TrackingScene","Right Palm"
"1686332633371","02-TrackingScene","Right IndexTip"
"1686332633578","02-TrackingScene","Right ThumbTip"
"1686332634111","02-TrackingScene","target_lost"
"1686332635875","02-TrackingScene","target_found"
"1686332635888","02-TrackingScene","Right Palm"
"1686332635890","02-TrackingScene","Right ThumbTip"
"1686332635921","02-TrackingScene","Right Palm"
"1686332635923","02-TrackingScene","Right ThumbTip"
"1686332635943","02-TrackingScene","Right RingTip"
"1686332635944","02-TrackingScene","Right PinkyTip"
"1686332635994","02-TrackingScene","Right MiddleTip"
"1686332635996","02-TrackingScene","Right IndexTip"
"1686332636605","02-TrackingScene","Right MiddleTip"
"1686332636611","02-TrackingScene","Right ThumbTip"
"1686332636651","02-TrackingScene","Right Palm"
"1686332636653","02-TrackingScene","Right RingTip"
"1686332636656","02-TrackingScene","Right PinkyTip"
"1686332636722","02-TrackingScene","Right ThumbTip"
"1686332636743","02-TrackingScene","Right IndexTip"
"1686332637151","02-TrackingScene","Right IndexTip"
"1686332637153","02-TrackingScene","Right ThumbTip"
"1686332637176","02-TrackingScene","Right Palm"
"1686332637177","02-TrackingScene","Right MiddleTip"
"1686332637210","02-TrackingScene","Right PinkyTip"
"1686332637213","02-TrackingScene","Right RingTip"
"1686332637244","02-TrackingScene","Right ThumbTip"
"1686332637282","02-TrackingScene","Right IndexTip"
"1686332637308","02-TrackingScene","Right RingTip"
"1686332637373","02-TrackingScene","Right MiddleTip"
"1686332637392","02-TrackingScene","Right IndexTip"
"1686332637454","02-TrackingScene","Right Palm"
"1686332637487","02-TrackingScene","Right Palm"
"1686332637566","02-TrackingScene","Right Palm"
"1686332637620","02-TrackingScene","Right IndexTip"
"1686332637669","02-TrackingScene","Right Palm"
"1686332638705","02-TrackingScene","target_lost"
"1686332647199","02-TrackingScene","target_found"
"1686332647839","02-TrackingScene","target_lost"
"1686332648551","02-TrackingScene","target_found"
"1686332649270","02-TrackingScene","Right IndexTip"
"1686332649271","02-TrackingScene","Right ThumbTip"
"1686332649284","02-TrackingScene","Right Palm"
"1686332649317","02-TrackingScene","Right MiddleTip"
"1686332649336","02-TrackingScene","Right PinkyTip"
"1686332649603","02-TrackingScene","Right IndexTip"
"1686332649607","02-TrackingScene","Right MiddleTip"
"1686332649626","02-TrackingScene","Right ThumbTip"
"1686332649638","02-TrackingScene","Right PinkyTip"
"1686332649672","02-TrackingScene","Right RingTip"
"1686332649872","02-TrackingScene","target_lost"
"1686332651673","02-TrackingScene","target_found"
"1686332651792","02-TrackingScene","Right ThumbTip"
"1686332651793","02-TrackingScene","Right IndexTip"
"1686332651969","02-TrackingScene","Right IndexTip"
"1686332652503","02-TrackingScene","Right IndexTip"
"1686332652517","02-TrackingScene","Right Palm"
"1686332652518","02-TrackingScene","Right ThumbTip"
"1686332652520","02-TrackingScene","Right MiddleTip"
"1686332652552","02-TrackingScene","Right PinkyTip"
"1686332652553","02-TrackingScene","Right RingTip"
"1686332652558","02-TrackingScene","target_lost"
"1686332657203","02-TrackingScene","target_found"
"1686332657215","02-TrackingScene","Right Palm"
"1686332657232","02-TrackingScene","Right IndexTip"
"1686332657257","02-TrackingScene","Right Palm"
"1686332657649","02-TrackingScene","Right IndexTip"
"1686332657752","02-TrackingScene","Right IndexTip"
"1686332658087","02-TrackingScene","Right IndexTip"
