"timestamp","rif_pos","rif_rot","rif_vel","rif_ang_vel","lif_pos","lif_rot","lif_vel","lif_ang_vel","rPalm_pos","rPalm_rot","rPalm_vel","rPalm_ang_vel","lPalm_pos","lPalm_rot","lPalm_vel","lPalm_ang_vel","cam_pos","cam_rot","cam_vel","cam_ang_vel","tar_pos","tar_rot","tar_vel","tar_ang_vel","Is Eye Tracking Enabled and Valid","gaze origin","gaze direction","gaze rotation","head movement direction","head velocity"
"1702074810070","(0.226173, -0.228310, 0.375973)","(0.013692, -0.218671, 0.229046, -0.948438)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.207833, -0.259985, 0.270871)","(0.273413, -0.107316, 0.276396, -0.915060)","(0.000000, 0.000000, 0.000000)","(0.000001, 0.000000, -0.000001)","null","null","null","null","(0.017824, 0.023548, -0.027416)","(0.231823, 0.115669, 0.016663, 0.965713)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.017545, 0.024335, -0.027752)","(0.239960, -0.441201, 0.864732)","(0.231823, 0.115669, 0.016663, 0.965713)","(0.476491, 0.555945, -0.681089)","(0.000000, 0.000000, 0.000000)"
"1702074810076","(0.226173, -0.228310, 0.375973)","(0.013692, -0.218671, 0.229046, -0.948438)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.207833, -0.259985, 0.270871)","(0.273413, -0.107316, 0.276396, -0.915060)","(0.000000, 0.000000, 0.000000)","(-0.000001, 0.000000, -0.000001)","null","null","null","null","(0.017824, 0.023548, -0.027416)","(0.231823, 0.115669, 0.016663, 0.965713)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.017545, 0.024335, -0.027752)","(0.239960, -0.441201, 0.864732)","(0.231823, 0.115669, 0.016663, 0.965713)","(0.476491, 0.555945, -0.681089)","(0.000000, 0.000000, 0.000000)"
"1702074810088","(0.228578, -0.230015, 0.379480)","(0.013692, -0.218671, 0.229046, -0.948438)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.210238, -0.261689, 0.274378)","(0.273412, -0.107316, 0.276396, -0.915060)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.017809, 0.022773, -0.027289)","(0.233199, 0.112916, 0.018011, 0.965683)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.017815, 0.023573, -0.027427)","(0.231415, -0.443809, 0.865726)","(0.233199, 0.112916, 0.018011, 0.965683)","(0.473074, 0.558874, -0.681073)","(0.000000, 0.000000, 0.000000)"
"1702074810103","(0.225439, -0.235096, 0.373672)","(0.006652, -0.231637, 0.210688, -0.949690)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.205961, -0.265553, 0.268874)","(0.268823, -0.113556, 0.251623, -0.922781)","(0.000000, 0.000000, 0.000000)","(0.000001, 0.000000, -0.000001)","null","null","null","null","(0.017818, 0.022767, -0.026893)","(0.235097, 0.110672, 0.018935, 0.965465)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.017809, 0.022799, -0.027294)","(0.226646, -0.446242, 0.865737)","(0.235097, 0.110672, 0.018935, 0.965465)","(0.470561, 0.560332, -0.681616)","(0.000000, 0.000000, 0.000000)"
"1702074810118","(0.222680, -0.235656, 0.369788)","(0.013254, -0.229720, 0.216707, -0.948731)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.203042, -0.267294, 0.265280)","(0.272297, -0.112692, 0.256663, -0.920478)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.017918, 0.022671, -0.026717)","(0.236969, 0.109137, 0.019025, 0.965180)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.017818, 0.022768, -0.026908)","(0.222752, -0.449634, 0.864992)","(0.236969, 0.109137, 0.019025, 0.965180)","(0.468632, 0.561961, -0.681603)","(0.000000, 0.000000, 0.000000)"
"1702074810139","(0.220350, -0.234537, 0.364122)","(0.020882, -0.228438, 0.221406, -0.947819)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.200417, -0.267479, 0.259950)","(0.276434, -0.113654, 0.258824, -0.918519)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.017769, 0.022589, -0.026140)","(0.238934, 0.106303, 0.018634, 0.965020)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.017914, 0.022675, -0.026726)","(0.219823, -0.453125, 0.863919)","(0.238934, 0.106303, 0.018634, 0.965020)","(0.467289, 0.563382, -0.681353)","(0.000000, 0.000000, 0.000000)"
"1702074810165","(0.219109, -0.237190, 0.359600)","(0.029735, -0.222656, 0.228140, -0.947361)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.199506, -0.272112, 0.255807)","(0.281503, -0.111010, 0.264371, -0.915719)","(0.000000, 0.000000, 0.000000)","(0.000001, 0.000000, 0.000001)","null","null","null","null","(0.017433, 0.022690, -0.025862)","(0.238493, 0.103551, 0.017416, 0.965451)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.017624, 0.022597, -0.025989)","(0.211419, -0.457140, 0.863901)","(0.238493, 0.103551, 0.017416, 0.965451)","(0.465234, 0.567081, -0.679688)","(0.000000, 0.000000, 0.000000)"
"1702074810183","(0.214811, -0.235319, 0.354848)","(0.034753, -0.215183, 0.234180, -0.947443)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.195904, -0.271853, 0.251326)","(0.286732, -0.106777, 0.271257, -0.912581)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.017353, 0.022482, -0.025654)","(0.237736, 0.102205, 0.016447, 0.965798)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.017448, 0.022683, -0.025872)","(0.208491, -0.456918, 0.864730)","(0.237736, 0.102205, 0.016447, 0.965798)","(0.463952, 0.569188, -0.678803)","(0.000000, 0.000000, 0.000000)"
"1702074810199","(0.214862, -0.236804, 0.354794)","(0.034753, -0.215183, 0.234180, -0.947443)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.195954, -0.273339, 0.251273)","(0.286732, -0.106777, 0.271257, -0.912581)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.017364, 0.022330, -0.025558)","(0.237326, 0.101051, 0.015563, 0.966035)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.017362, 0.022500, -0.025673)","(0.205528, -0.455943, 0.865953)","(0.237326, 0.101051, 0.015563, 0.966035)","(0.462899, 0.571031, -0.677973)","(0.000000, 0.000000, 0.000000)"
"1702074810232","(0.205113, -0.231074, 0.341824)","(0.049702, -0.189120, 0.249304, -0.948478)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.189332, -0.272802, 0.239611)","(0.306892, -0.086615, 0.289069, -0.902638)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","(0.017075, 0.021974, -0.025423)","(0.237877, 0.099614, 0.014195, 0.966070)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000)","null","null","null","null","0","(0.017236, 0.022196, -0.025561)","(0.200981, -0.455985, 0.866997)","(0.237877, 0.099614, 0.014195, 0.966070)","(0.461306, 0.573709, -0.676797)","(0.000000, 0.000000, 0.000000)"
