"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1702074827152","(-0.198494, 0.365273, 0.223148)","(0.823959, 0.091262, 0.039835, 0.557831)","(-0.042735, -0.000718, 0.000655)","(0.669604, 0.065075, -0.171449, 0.719723)","(-0.008649, 0.096586, -0.048961)","(0.332660, 0.182436, -0.222670, 0.898038)","(-0.000795, -0.003417, -0.004235)","(-0.001328, 0.002542, -0.005693, 0.999980)"
"1702074827178","(-0.203161, 0.365924, 0.227268)","(0.823800, 0.095220, 0.045250, 0.556991)","(-0.044350, 0.004759, 0.009274)","(0.663402, 0.060428, -0.170832, 0.725991)","(-0.009772, 0.100391, -0.042416)","(0.317656, 0.176587, -0.225953, 0.903802)","(-0.000856, -0.002245, -0.003435)","(-0.000558, -0.002585, 0.007482, 0.999969)"
"1702074827184","(-0.195592, 0.371057, 0.232262)","(0.824602, 0.090600, 0.039034, 0.557046)","(-0.043320, 0.008905, 0.016089)","(0.666060, 0.055113, -0.174194, 0.723176)","(-0.007655, 0.102769, -0.036354)","(0.304007, 0.173210, -0.233397, 0.907251)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827198","(-0.195592, 0.371057, 0.232262)","(0.824602, 0.090600, 0.039034, 0.557046)","(-0.043320, 0.008905, 0.016089)","(0.666060, 0.055113, -0.174194, 0.723176)","(-0.007655, 0.102769, -0.036354)","(0.304007, 0.173210, -0.233397, 0.907251)","(-0.001235, -0.000936, -0.002355)","(-0.000174, -0.001399, 0.003168, 0.999994)"
"1702074827226","(-0.191380, 0.373337, 0.235185)","(0.824563, 0.089081, 0.036145, 0.557544)","(-0.042748, 0.010085, 0.019630)","(0.670698, 0.055376, -0.180069, 0.717407)","(-0.006455, 0.103545, -0.032173)","(0.302234, 0.173895, -0.240504, 0.905855)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827249","(-0.191430, 0.373721, 0.235397)","(0.824633, 0.088946, 0.035625, 0.557495)","(-0.043657, 0.010620, 0.022048)","(0.669471, 0.057335, -0.183859, 0.717438)","(-0.007188, 0.103611, -0.030073)","(0.301079, 0.172759, -0.246403, 0.904871)","(-0.000827, 0.002268, -0.001100)","(0.011532, -0.000440, 0.006337, 0.999913)"
"1702074827285","(-0.185562, 0.379318, 0.227994)","(0.818367, 0.084453, 0.030047, 0.567663)","(-0.043224, 0.010170, 0.024169)","(0.657665, 0.051335, -0.191604, 0.726725)","(-0.005401, 0.101100, -0.030626)","(0.290658, 0.168164, -0.256797, 0.906253)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827298","(-0.185495, 0.379351, 0.228112)","(0.818315, 0.084897, 0.029453, 0.567702)","(-0.043357, 0.009687, 0.024443)","(0.657665, 0.051335, -0.191604, 0.726725)","(-0.005535, 0.100616, -0.030351)","(0.290658, 0.168164, -0.256797, 0.906253)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827315","(-0.185495, 0.379351, 0.228112)","(0.818315, 0.084897, 0.029453, 0.567702)","(-0.043357, 0.009687, 0.024443)","(0.657665, 0.051335, -0.191604, 0.726725)","(-0.005535, 0.100616, -0.030351)","(0.290658, 0.168164, -0.256797, 0.906253)","(-0.002247, 0.003540, -0.002341)","(0.004384, -0.003616, -0.002311, 0.999981)"
"1702074827321","(-0.183259, 0.377171, 0.228557)","(0.815435, 0.089275, 0.027123, 0.571280)","(-0.041130, 0.007072, 0.028506)","(0.647896, 0.054490, -0.195558, 0.734179)","(-0.003934, 0.097083, -0.028342)","(0.282376, 0.171176, -0.259464, 0.907547)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827355","(-0.183259, 0.377171, 0.228557)","(0.815435, 0.089275, 0.027123, 0.571280)","(-0.041130, 0.007072, 0.028506)","(0.647896, 0.054490, -0.195558, 0.734179)","(-0.003934, 0.097083, -0.028342)","(0.282376, 0.171176, -0.259464, 0.907547)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827377","(-0.183235, 0.377087, 0.228695)","(0.815136, 0.089708, 0.027673, 0.571612)","(-0.040448, 0.006332, 0.030561)","(0.639616, 0.056759, -0.196058, 0.741101)","(-0.003658, 0.095970, -0.027424)","(0.278779, 0.171611, -0.259332, 0.908613)","(-0.000821, -0.000831, -0.000448)","(0.010192, 0.003659, -0.001565, 0.999940)"
"1702074827397","(-0.185377, 0.381912, 0.220113)","(0.808759, 0.089270, 0.030823, 0.580508)","(-0.039830, 0.004932, 0.033083)","(0.629279, 0.054831, -0.193482, 0.750710)","(-0.003188, 0.093562, -0.026771)","(0.269817, 0.166879, -0.258090, 0.912546)","(-0.000355, -0.000340, 0.000154)","(0.003834, 0.001894, -0.002099, 0.999989)"
"1702074827425","(-0.187489, 0.383028, 0.216382)","(0.806388, 0.089573, 0.033302, 0.583615)","(-0.039426, 0.003197, 0.033598)","(0.624584, 0.054053, -0.190463, 0.755445)","(-0.003121, 0.091605, -0.027086)","(0.266778, 0.166661, -0.254115, 0.914593)","(-0.000286, -0.000006, -0.000260)","(0.000167, 0.001860, -0.001502, 0.999997)"
"1702074827429","(-0.189193, 0.382419, 0.215866)","(0.806168, 0.089241, 0.035452, 0.583844)","(-0.038061, -0.001287, 0.034699)","(0.626153, 0.056283, -0.186000, 0.755095)","(-0.002426, 0.087639, -0.025580)","(0.267689, 0.167101, -0.249217, 0.915593)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827453","(-0.189193, 0.382419, 0.215866)","(0.806168, 0.089241, 0.035452, 0.583844)","(-0.038061, -0.001287, 0.034699)","(0.626153, 0.056283, -0.186000, 0.755095)","(-0.002426, 0.087639, -0.025580)","(0.267689, 0.167101, -0.249217, 0.915593)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827483","(-0.189181, 0.382121, 0.216117)","(0.805941, 0.088956, 0.034415, 0.584261)","(-0.036898, -0.006005, 0.034698)","(0.627147, 0.058940, -0.184815, 0.754358)","(-0.001852, 0.083201, -0.025398)","(0.267075, 0.169163, -0.247081, 0.915973)","(-0.000165, 0.000295, -0.000172)","(-0.000827, 0.000906, -0.000804, 0.999999)"
"1702074827490","(-0.189880, 0.380912, 0.216446)","(0.806261, 0.088413, 0.034795, 0.583880)","(-0.035631, -0.009632, 0.033794)","(0.628689, 0.060616, -0.183470, 0.753270)","(-0.000949, 0.079865, -0.026008)","(0.267803, 0.170067, -0.245355, 0.916057)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827511","(-0.189880, 0.380912, 0.216446)","(0.806261, 0.088413, 0.034795, 0.583880)","(-0.035631, -0.009632, 0.033794)","(0.628689, 0.060616, -0.183470, 0.753270)","(-0.000949, 0.079865, -0.026008)","(0.267803, 0.170067, -0.245355, 0.916057)","(-0.000020, 0.000849, 0.000707)","(0.001640, -0.000741, 0.003125, 0.999994)"
"1702074827537","(-0.187001, 0.381802, 0.214552)","(0.805948, 0.086172, 0.031378, 0.584840)","(-0.033818, -0.016428, 0.032655)","(0.636889, 0.061684, -0.180070, 0.747089)","(0.000445, 0.073234, -0.026197)","(0.265060, 0.170654, -0.242410, 0.917528)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827557","(-0.186778, 0.381629, 0.214696)","(0.806322, 0.087099, 0.031391, 0.584187)","(-0.028945, -0.024317, 0.027320)","(0.670672, 0.067234, -0.157391, 0.721739)","(0.003067, 0.065550, -0.027410)","(0.246983, 0.164813, -0.229273, 0.926968)","(0.000539, 0.000076, 0.000521)","(0.002843, -0.001181, 0.004968, 0.999983)"
"1702074827586","(-0.182915, 0.384527, 0.212231)","(0.805229, 0.084625, 0.026471, 0.586298)","(-0.028475, -0.027450, 0.022080)","(0.703016, 0.070232, -0.147913, 0.692068)","(0.002897, 0.061930, -0.028442)","(0.235606, 0.159450, -0.228756, 0.930987)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827591","(-0.182618, 0.384703, 0.212051)","(0.805410, 0.085283, 0.026354, 0.585958)","(-0.027911, -0.027858, 0.020203)","(0.712922, 0.073059, -0.145501, 0.682081)","(0.003052, 0.061583, -0.028741)","(0.232923, 0.158835, -0.228296, 0.931879)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1702074827605","(-0.182618, 0.384703, 0.212051)","(0.805410, 0.085283, 0.026354, 0.585958)","(-0.027911, -0.027858, 0.020203)","(0.712922, 0.073059, -0.145501, 0.682081)","(0.003052, 0.061583, -0.028741)","(0.232923, 0.158835, -0.228296, 0.931879)","(0.000332, -0.004447, 0.000258)","(-0.000687, 0.000812, 0.007436, 0.999972)"
