"timestamp","scene name","event"
"1702074827111","02-TrackingScene","target_found"
"1702074827137","02-TrackingScene","Right IndexTip"
"1702074827486","02-TrackingScene","Right ThumbTip"
"1702074827797","02-TrackingScene","Right Palm"
"1702074827926","02-TrackingScene","Right Palm"
"1702074827993","02-TrackingScene","Right IndexTip"
"1702074828462","02-TrackingScene","Right IndexTip"
"1702074828627","02-TrackingScene","Right ThumbTip"
"1702074828805","02-TrackingScene","Right MiddleTip"
"1702074829292","02-TrackingScene","Right IndexTip"
"1702074829775","02-TrackingScene","Right ThumbTip"
"1702074830405","02-TrackingScene","Right IndexTip"
"1702074830930","02-TrackingScene","Right IndexTip"
"1702074831156","02-TrackingScene","Right MiddleTip"
"1702074831231","02-TrackingScene","Right ThumbTip"
"1702074831361","02-TrackingScene","Right IndexTip"
"1702074831430","02-TrackingScene","Right RingTip"
"1702074831597","02-TrackingScene","Right RingTip"
"1702074831616","02-TrackingScene","Right IndexTip"
"1702074831634","02-TrackingScene","Right PinkyTip"
"1702074831715","02-TrackingScene","Right IndexTip"
"1702074831772","02-TrackingScene","Right MiddleTip"
"1702074832287","02-TrackingScene","Right MiddleTip"
"1702074832494","02-TrackingScene","Right ThumbTip"
"1702074832529","02-TrackingScene","Right RingTip"
"1702074832531","02-TrackingScene","Right PinkyTip"
"1702074832689","02-TrackingScene","Right PinkyTip"
"1702074832720","02-TrackingScene","Right PinkyTip"
"1702074833174","02-TrackingScene","Right IndexTip"
"1702074833214","02-TrackingScene","Right MiddleTip"
"1702074833265","02-TrackingScene","Right RingTip"
"1702074833347","02-TrackingScene","Right PinkyTip"
"1702074833499","02-TrackingScene","Right ThumbTip"
"1702074833843","02-TrackingScene","Right IndexTip"
"1702074834256","02-TrackingScene","Right ThumbTip"
"1702074834311","02-TrackingScene","Right ThumbTip"
"1702074834415","02-TrackingScene","Right RingTip"
"1702074834437","02-TrackingScene","Right PinkyTip"
"1702074834527","02-TrackingScene","Right MiddleTip"
"1702074834731","02-TrackingScene","Right MiddleTip"
"1702074834873","02-TrackingScene","Right IndexTip"
"1702074835201","02-TrackingScene","Right IndexTip"
"1702074835326","02-TrackingScene","Right Palm"
"1702074835349","02-TrackingScene","target_lost"
"1702074850360","02-TrackingScene","target_found"
"1702074851100","02-TrackingScene","Right IndexTip"
"1702074851155","02-TrackingScene","Right ThumbTip"
"1702074851394","02-TrackingScene","Right IndexTip"
"1702074851591","02-TrackingScene","Right IndexTip"
"1702074851903","02-TrackingScene","Right ThumbTip"
"1702074851928","02-TrackingScene","Right MiddleTip"
"1702074851969","02-TrackingScene","Right MiddleTip"
"1702074852125","02-TrackingScene","Right Palm"
"1702074852192","02-TrackingScene","Right Palm"
"1702074852246","02-TrackingScene","Right IndexTip"
"1702074852301","02-TrackingScene","Right IndexTip"
"1702074852742","02-TrackingScene","Right IndexTip"
"1702074853174","02-TrackingScene","Right IndexTip"
