"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1697301637751","(-0.066004, 0.348741, 0.309654)","(0.823709, 0.109087, -0.045093, 0.554591)","(-0.021478, 0.056712, 0.055628)","(0.662654, 0.132507, -0.377938, 0.632846)","(0.019810, 0.149316, 0.001193)","(0.427102, 0.258357, -0.410205, 0.763261)","(-0.001185, -0.000270, -0.001882)","(0.018118, 0.005652, -0.008866, 0.999781)"
"1697301637766","(-0.075217, 0.358847, 0.298373)","(0.812854, 0.111939, -0.037664, 0.570369)","(-0.023911, 0.058085, 0.055997)","(0.648644, 0.124461, -0.367338, 0.654854)","(0.016692, 0.149625, -0.001659)","(0.417376, 0.247195, -0.399949, 0.777646)","(-0.000155, -0.000534, -0.000622)","(0.001910, -0.002338, 0.002006, 0.999993)"
"1697301637786","(-0.072456, 0.360921, 0.298034)","(0.811471, 0.111418, -0.040402, 0.572248)","(-0.025468, 0.058709, 0.057331)","(0.639643, 0.120948, -0.367808, 0.664038)","(0.015464, 0.150091, -0.001705)","(0.420153, 0.245177, -0.396858, 0.778373)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697301637811","(-0.072938, 0.360973, 0.298020)","(0.811153, 0.110986, -0.039946, 0.572816)","(-0.028419, 0.057514, 0.058898)","(0.639023, 0.114206, -0.365851, 0.666903)","(0.013487, 0.148830, -0.000259)","(0.425140, 0.240866, -0.391491, 0.779727)","(-0.000656, -0.000794, -0.000876)","(0.001442, -0.000444, -0.000460, 0.999999)"
"1697301637823","(-0.072670, 0.362831, 0.298000)","(0.810283, 0.111056, -0.040280, 0.574009)","(-0.027840, 0.057825, 0.060447)","(0.637846, 0.114268, -0.365992, 0.667941)","(0.013930, 0.149009, 0.000990)","(0.423730, 0.240843, -0.391668, 0.780412)","(-0.000772, -0.000815, -0.000856)","(0.000171, -0.000715, 0.002330, 0.999997)"
"1697301637853","(-0.070028, 0.364238, 0.299000)","(0.810409, 0.109121, -0.042437, 0.574046)","(-0.029713, 0.058118, 0.062304)","(0.634847, 0.105466, -0.366095, 0.672176)","(0.013377, 0.148841, 0.002162)","(0.429134, 0.235650, -0.386405, 0.781668)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697301637876","(-0.070644, 0.364145, 0.299073)","(0.809867, 0.108207, -0.042460, 0.574982)","(-0.035606, 0.057940, 0.062849)","(0.631725, 0.098341, -0.367670, 0.675331)","(0.008788, 0.148243, 0.002214)","(0.434787, 0.230436, -0.381419, 0.782547)","(-0.001045, -0.000835, -0.000725)","(-0.001245, -0.000320, -0.001414, 0.999998)"
"1697301637888","(-0.070497, 0.364078, 0.300980)","(0.810259, 0.109400, -0.041950, 0.574241)","(-0.036948, 0.057414, 0.062892)","(0.634808, 0.100189, -0.364992, 0.673619)","(0.007579, 0.148529, 0.003506)","(0.439819, 0.232242, -0.377896, 0.780908)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697301637902","(-0.070684, 0.363996, 0.300920)","(0.810017, 0.109609, -0.042492, 0.574502)","(-0.037477, 0.056876, 0.063557)","(0.634808, 0.100189, -0.364992, 0.673619)","(0.007050, 0.147991, 0.004171)","(0.439819, 0.232242, -0.377896, 0.780908)","(-0.001188, -0.000780, -0.000684)","(0.000884, -0.000426, 0.000695, 0.999999)"
"1697301637935","(-0.069039, 0.365304, 0.300934)","(0.809482, 0.109209, -0.043532, 0.575254)","(-0.038534, 0.056867, 0.063540)","(0.635648, 0.103578, -0.367131, 0.671147)","(0.006049, 0.148192, 0.004730)","(0.441282, 0.234663, -0.380898, 0.777895)","(-0.001197, -0.001055, -0.000944)","(0.002336, -0.001370, 0.002954, 0.999992)"
