"timestamp","scene name","event"
"1697301637717","02-TrackingScene","target_found"
"1697301639039","02-TrackingScene","Right IndexTip"
"1697301640535","02-TrackingScene","Right IndexTip"
"1697301641586","02-TrackingScene","Right IndexTip"
"1697301642154","02-TrackingScene","Right IndexTip"
"1697301642636","02-TrackingScene","Right IndexTip"
"1697301643144","02-TrackingScene","Right IndexTip"
"1697301643302","02-TrackingScene","Right IndexTip"
"1697301644185","02-TrackingScene","target_lost"
"1697301648301","02-TrackingScene","target_found"
"1697301649311","02-TrackingScene","Right IndexTip"
"1697301651707","02-TrackingScene","Right MiddleTip"
"1697301651787","02-TrackingScene","Right MiddleTip"
"1697301651835","02-TrackingScene","Right IndexTip"
"1697301652570","02-TrackingScene","Right MiddleTip"
"1697301652891","02-TrackingScene","Right IndexTip"
"1697301653075","02-TrackingScene","Right MiddleTip"
"1697301653952","02-TrackingScene","Right MiddleTip"
"1697301654088","02-TrackingScene","Right MiddleTip"
"1697301654237","02-TrackingScene","Right MiddleTip"
"1697301654649","02-TrackingScene","Right MiddleTip"
"1697301654691","02-TrackingScene","Right MiddleTip"
"1697301655156","02-TrackingScene","Right MiddleTip"
"1697301655400","02-TrackingScene","Right IndexTip"
"1697301656252","02-TrackingScene","Right MiddleTip"
"1697301656637","02-TrackingScene","Right IndexTip"
"1697301656837","02-TrackingScene","Right MiddleTip"
"1697301657306","02-TrackingScene","Right MiddleTip"
"1697301658254","02-TrackingScene","Right IndexTip"
"1697301659135","02-TrackingScene","target_lost"
"1697301664281","02-TrackingScene","target_found"
"1697301664293","02-TrackingScene","Right IndexTip"
"1697301664313","02-TrackingScene","Right MiddleTip"
"1697301665292","02-TrackingScene","Right MiddleTip"
"1697301667872","02-TrackingScene","Right IndexTip"
"1697301668052","02-TrackingScene","Right RingTip"
"1697301668134","02-TrackingScene","Right MiddleTip"
"1697301668409","02-TrackingScene","Right MiddleTip"
"1697301668501","02-TrackingScene","Right RingTip"
"1697301668893","02-TrackingScene","Right RingTip"
"1697301669586","02-TrackingScene","Right RingTip"
"1697301669895","02-TrackingScene","Right IndexTip"
"1697301670103","02-TrackingScene","Right MiddleTip"
"1697301670105","02-TrackingScene","Right RingTip"
"1697301670206","02-TrackingScene","Right IndexTip"
"1697301670371","02-TrackingScene","Right IndexTip"
"1697301670937","02-TrackingScene","Right IndexTip"
"1697301671134","02-TrackingScene","Right MiddleTip"
"1697301671953","02-TrackingScene","target_lost"
"1697301675771","02-TrackingScene","target_found"
"1697301675785","02-TrackingScene","Right MiddleTip"
"1697301675786","02-TrackingScene","Right IndexTip"
"1697301676340","02-TrackingScene","Right MiddleTip"
"1697301676730","02-TrackingScene","Right MiddleTip"
"1697301676850","02-TrackingScene","Right IndexTip"
"1697301676851","02-TrackingScene","Right RingTip"
"1697301678034","02-TrackingScene","Right IndexTip"
"1697301678207","02-TrackingScene","Right MiddleTip"
"1697301678305","02-TrackingScene","Right RingTip"
"1697301678497","02-TrackingScene","Right IndexTip"
"1697301678552","02-TrackingScene","Right MiddleTip"
"1697301679168","02-TrackingScene","Right IndexTip"
"1697301679454","02-TrackingScene","Right IndexTip"
"1697301679485","02-TrackingScene","Right IndexTip"
"1697301679838","02-TrackingScene","Right IndexTip"
"1697301680319","02-TrackingScene","target_lost"
"1697301681480","02-TrackingScene","target_found"
"1697301682756","02-TrackingScene","Right IndexTip"
"1697301683952","02-TrackingScene","Right IndexTip"
"1697301684703","02-TrackingScene","Right MiddleTip"
"1697301684984","02-TrackingScene","Right IndexTip"
"1697301686854","02-TrackingScene","Right IndexTip"
"1697301686886","02-TrackingScene","Right IndexTip"
"1697301689520","02-TrackingScene","Right MiddleTip"
"1697301689571","02-TrackingScene","Right IndexTip"
"1697301690173","02-TrackingScene","Right IndexTip"
"1697301692350","02-TrackingScene","Right MiddleTip"
"1697301692480","02-TrackingScene","Right MiddleTip"
"1697301693036","02-TrackingScene","Right IndexTip"
"1697301693168","02-TrackingScene","Right RingTip"
"1697301693455","02-TrackingScene","Right RingTip"
"1697301693983","02-TrackingScene","Right MiddleTip"
"1697301693985","02-TrackingScene","Right IndexTip"
"1697301694408","02-TrackingScene","Right MiddleTip"
"1697301694952","02-TrackingScene","Right MiddleTip"
"1697301697486","02-TrackingScene","Right IndexTip"
"1697301698102","02-TrackingScene","Right IndexTip"
"1697301699927","02-TrackingScene","Right IndexTip"
"1697301700237","02-TrackingScene","Right IndexTip"
"1697301700429","02-TrackingScene","Right IndexTip"
"1697301700979","02-TrackingScene","target_lost"
"1697301704494","02-TrackingScene","target_found"
"1697301706558","02-TrackingScene","Right MiddleTip"
"1697301706579","02-TrackingScene","Right IndexTip"
"1697301706838","02-TrackingScene","Right MiddleTip"
"1697301708171","02-TrackingScene","Right MiddleTip"
"1697301708403","02-TrackingScene","Right IndexTip"
"1697301708672","02-TrackingScene","Right MiddleTip"
"1697301710436","02-TrackingScene","Right IndexTip"
"1697301710468","02-TrackingScene","Right IndexTip"
"1697301711169","02-TrackingScene","Right IndexTip"
