"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1691603621966","(-0.030985, 0.442499, 0.120868)","(0.777616, 0.086055, -0.009450, 0.622751)","(0.063045, 0.209121, -0.034300)","(0.591877, 0.034292, -0.464036, 0.658162)","(0.110815, 0.276589, -0.112759)","(0.296131, 0.226815, -0.507576, 0.776678)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691603621999","(-0.030985, 0.442499, 0.120868)","(0.777616, 0.086055, -0.009450, 0.622751)","(0.063045, 0.209121, -0.034300)","(0.591877, 0.034292, -0.464036, 0.658162)","(0.110815, 0.276589, -0.112759)","(0.296131, 0.226815, -0.507576, 0.776678)","(-0.005380, 0.000085, -0.004753)","(0.023261, -0.003657, -0.005308, 0.999709)"
"1691603622007","(-0.031875, 0.437285, 0.105805)","(0.763903, 0.088840, -0.008350, 0.639132)","(0.065957, 0.208137, -0.039745)","(0.574517, 0.029037, -0.463369, 0.674075)","(0.112441, 0.272375, -0.121613)","(0.274918, 0.219354, -0.509664, 0.785205)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691603622030","(-0.031875, 0.437285, 0.105805)","(0.763903, 0.088840, -0.008350, 0.639132)","(0.065957, 0.208137, -0.039745)","(0.574517, 0.029037, -0.463369, 0.674075)","(0.112441, 0.272375, -0.121613)","(0.274918, 0.219354, -0.509664, 0.785205)","(-0.001483, -0.000587, -0.002189)","(0.009212, 0.000797, -0.001862, 0.999956)"
"1691603622036","(-0.033781, 0.434568, 0.100496)","(0.758526, 0.084690, -0.005771, 0.646090)","(0.066726, 0.208248, -0.041290)","(0.568597, 0.025300, -0.461903, 0.680224)","(0.113105, 0.271140, -0.124256)","(0.267670, 0.214536, -0.509980, 0.788827)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691603622053","(-0.033781, 0.434568, 0.100496)","(0.758526, 0.084690, -0.005771, 0.646090)","(0.066726, 0.208248, -0.041290)","(0.568597, 0.025300, -0.461903, 0.680224)","(0.113105, 0.271140, -0.124256)","(0.267670, 0.214536, -0.509980, 0.788827)","(-0.001599, -0.002043, -0.001041)","(0.007839, 0.002942, -0.000685, 0.999965)"
"1691603622067","(-0.034559, 0.433921, 0.094075)","(0.753421, 0.080231, -0.004343, 0.652610)","(0.068284, 0.209730, -0.043140)","(0.564586, 0.020066, -0.459946, 0.685047)","(0.115068, 0.271380, -0.126807)","(0.262831, 0.208393, -0.510316, 0.791877)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691603622092","(-0.034882, 0.432289, 0.092596)","(0.753806, 0.079236, -0.004553, 0.652286)","(0.068284, 0.209730, -0.043140)","(0.564586, 0.020066, -0.459946, 0.685047)","(0.115068, 0.271380, -0.126807)","(0.262831, 0.208393, -0.510316, 0.791877)","(-0.000271, -0.000935, -0.000941)","(0.007047, 0.000836, 0.003697, 0.999968)"
"1691603622106","(-0.032037, 0.433582, 0.086026)","(0.751239, 0.075622, -0.007143, 0.655645)","(0.070181, 0.209537, -0.045044)","(0.560199, 0.014164, -0.462133, 0.687321)","(0.117556, 0.269654, -0.129491)","(0.258439, 0.203156, -0.514477, 0.791992)","(0.000822, 0.000490, 0.000353)","(-0.001000, -0.000866, -0.003549, 0.999993)"
"1691603622118","(-0.036113, 0.431751, 0.085566)","(0.753223, 0.078054, -0.005568, 0.653094)","(0.067795, 0.209624, -0.045097)","(0.560432, 0.017210, -0.460161, 0.688383)","(0.114595, 0.270245, -0.129505)","(0.258063, 0.205272, -0.511682, 0.793378)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
