"timestamp","scene name","event"
"1691603621928","02-TrackingScene","target_found"
"1691603624815","02-TrackingScene","Right IndexTip"
"1691603624875","02-TrackingScene","Right MiddleTip"
"1691603625212","02-TrackingScene","Right MiddleTip"
"1691603625496","02-TrackingScene","Right MiddleTip"
"1691603625498","02-TrackingScene","Right IndexTip"
"1691603625849","02-TrackingScene","Right RingTip"
"1691603625850","02-TrackingScene","Right ThumbTip"
"1691603626115","02-TrackingScene","Right PinkyTip"
"1691603626230","02-TrackingScene","Right MiddleTip"
"1691603626233","02-TrackingScene","Right IndexTip"
"1691603626575","02-TrackingScene","Right RingTip"
"1691603626580","02-TrackingScene","Right ThumbTip"
"1691603627071","02-TrackingScene","Right IndexTip"
"1691603627120","02-TrackingScene","Right MiddleTip"
"1691603627517","02-TrackingScene","Right ThumbTip"
"1691603627757","02-TrackingScene","Right MiddleTip"
"1691603628239","02-TrackingScene","target_lost"
"1691603733578","02-TrackingScene","target_found"
"1691603733597","02-TrackingScene","Left ThumbTip"
"1691603733598","02-TrackingScene","Left IndexTip"
"1691603733601","02-TrackingScene","Left PinkyTip"
"1691603733824","02-TrackingScene","Left MiddleTip"
"1691603733852","02-TrackingScene","Left RingTip"
"1691603733872","02-TrackingScene","Left ThumbTip"
"1691603734086","02-TrackingScene","Left PinkyTip"
"1691603734265","02-TrackingScene","Left MiddleTip"
"1691603734596","02-TrackingScene","target_lost"
"1691603769304","02-TrackingScene","target_found"
"1691603769330","02-TrackingScene","Right RingTip"
"1691603769332","02-TrackingScene","Right IndexTip"
"1691603769393","02-TrackingScene","Right MiddleTip"
"1691603769590","02-TrackingScene","Right RingTip"
"1691603770068","02-TrackingScene","Right RingTip"
"1691603770177","02-TrackingScene","Right ThumbTip"
"1691603770270","02-TrackingScene","Right MiddleTip"
"1691603770602","02-TrackingScene","Right RingTip"
"1691603770700","02-TrackingScene","Right ThumbTip"
"1691603770834","02-TrackingScene","Right MiddleTip"
"1691603771213","02-TrackingScene","Right RingTip"
"1691603771234","02-TrackingScene","Right ThumbTip"
"1691603771744","02-TrackingScene","Right MiddleTip"
"1691603771836","02-TrackingScene","Right IndexTip"
"1691603774201","02-TrackingScene","Right ThumbTip"
"1691603774618","02-TrackingScene","Right IndexTip"
"1691603777543","02-TrackingScene","Right ThumbTip"
"1691603778271","02-TrackingScene","target_lost"
"1691603799119","02-TrackingScene","target_found"
"1691603799389","02-TrackingScene","Right IndexTip"
"1691603800535","02-TrackingScene","Right IndexTip"
"1691603803614","02-TrackingScene","target_lost"
"1691603808524","02-TrackingScene","target_found"
"1691603808550","02-TrackingScene","Right RingTip"
"1691603808554","02-TrackingScene","Right MiddleTip"
"1691603808557","02-TrackingScene","Right ThumbTip"
"1691603808558","02-TrackingScene","Right IndexTip"
"1691603808616","02-TrackingScene","Right Palm"
"1691603808620","02-TrackingScene","Right PinkyTip"
"1691603808910","02-TrackingScene","target_lost"
"1691603833014","02-TrackingScene","target_found"
"1691603833031","02-TrackingScene","Right MiddleTip"
"1691603833032","02-TrackingScene","Right IndexTip"
"1691603833172","02-TrackingScene","Right RingTip"
"1691603833487","02-TrackingScene","Right IndexTip"
"1691603833648","02-TrackingScene","Right RingTip"
"1691603834081","02-TrackingScene","Right ThumbTip"
"1691603834679","02-TrackingScene","Right RingTip"
"1691603834683","02-TrackingScene","Right IndexTip"
"1691603835275","02-TrackingScene","Right PinkyTip"
"1691603835341","02-TrackingScene","Right ThumbTip"
"1691603835376","02-TrackingScene","Right ThumbTip"
"1691603835417","02-TrackingScene","Right MiddleTip"
"1691603835835","02-TrackingScene","Right MiddleTip"
"1691603835868","02-TrackingScene","Right RingTip"
"1691603835870","02-TrackingScene","Right IndexTip"
"1691603836651","02-TrackingScene","Right IndexTip"
"1691603836843","02-TrackingScene","Right RingTip"
"1691603837740","02-TrackingScene","Right IndexTip"
"1691603837824","02-TrackingScene","Right RingTip"
"1691603838559","02-TrackingScene","Right RingTip"
"1691603838674","02-TrackingScene","Right RingTip"
"1691603839551","02-TrackingScene","Right MiddleTip"
"1691603839628","02-TrackingScene","Right IndexTip"
"1691603841345","02-TrackingScene","Right MiddleTip"
"1691603841651","02-TrackingScene","Right MiddleTip"
"1691603841777","02-TrackingScene","Right IndexTip"
"1691603841816","02-TrackingScene","Right RingTip"
"1691603842452","02-TrackingScene","Right RingTip"
"1691603843590","02-TrackingScene","Right MiddleTip"
"1691603843763","02-TrackingScene","Right IndexTip"
"1691603843849","02-TrackingScene","Right RingTip"
"1691603844459","02-TrackingScene","Right RingTip"
"1691603844995","02-TrackingScene","Right PinkyTip"
"1691603845053","02-TrackingScene","Right MiddleTip"
"1691603845108","02-TrackingScene","Right MiddleTip"
"1691603845902","02-TrackingScene","target_lost"
"1691603881862","02-TrackingScene","target_found"
"1691603881879","02-TrackingScene","Right MiddleTip"
"1691603881881","02-TrackingScene","Right RingTip"
"1691603881882","02-TrackingScene","Right IndexTip"
"1691603882223","02-TrackingScene","Right ThumbTip"
"1691603882299","02-TrackingScene","Right ThumbTip"
"1691603882723","02-TrackingScene","Right MiddleTip"
"1691603882843","02-TrackingScene","Right IndexTip"
"1691603884235","02-TrackingScene","Right MiddleTip"
"1691603884275","02-TrackingScene","Right IndexTip"
"1691603884837","02-TrackingScene","Right MiddleTip"
"1691603885787","02-TrackingScene","target_lost"
"1691603913255","02-TrackingScene","target_found"
"1691603913286","02-TrackingScene","Right MiddleTip"
"1691603913376","02-TrackingScene","Right IndexTip"
"1691603913466","02-TrackingScene","Right RingTip"
"1691603914285","02-TrackingScene","Right MiddleTip"
"1691603914661","02-TrackingScene","Right IndexTip"
"1691603915465","02-TrackingScene","Right MiddleTip"
"1691603915702","02-TrackingScene","Right IndexTip"
"1691603915853","02-TrackingScene","Right RingTip"
"1691603916255","02-TrackingScene","Right RingTip"
"1691603917069","02-TrackingScene","Right IndexTip"
