"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1697306975058","(-0.027041, 0.418619, 0.227027)","(0.764236, 0.094938, -0.009733, 0.637837)","(-0.118110, 0.244352, 0.018082)","(0.682434, -0.345540, -0.543801, 0.345205)","(-0.020873, 0.245431, -0.025246)","(0.385942, 0.009527, -0.709096, 0.590035)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975076","(-0.026989, 0.418545, 0.226984)","(0.764426, 0.095089, -0.009795, 0.637586)","(-0.122054, 0.241604, 0.011892)","(0.696442, -0.351059, -0.534314, 0.325937)","(-0.022432, 0.243546, -0.027444)","(0.413965, 0.004620, -0.696913, 0.585597)","(0.002392, -0.001906, 0.000899)","(-0.018207, 0.006224, 0.002479, 0.999812)"
"1697306975109","(-0.030121, 0.411976, 0.240695)","(0.776350, 0.089458, -0.005006, 0.623902)","(-0.125497, 0.242237, 0.016195)","(0.706097, -0.341015, -0.536263, 0.312344)","(-0.023914, 0.245911, -0.020455)","(0.442240, 0.007472, -0.687053, 0.576478)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975128","(-0.029780, 0.411672, 0.240253)","(0.777591, 0.090417, -0.005708, 0.622209)","(-0.125661, 0.239703, 0.015869)","(0.708456, -0.330709, -0.538144, 0.314838)","(-0.023826, 0.245566, -0.021041)","(0.448934, 0.013989, -0.680854, 0.578532)","(0.002367, -0.002156, 0.000324)","(-0.014478, 0.011868, 0.001014, 0.999824)"
"1697306975149","(-0.037005, 0.406644, 0.250975)","(0.787002, 0.082740, 0.004177, 0.611363)","(-0.128010, 0.239634, 0.019904)","(0.717276, -0.312108, -0.539487, 0.311541)","(-0.025201, 0.248320, -0.015040)","(0.468089, 0.020832, -0.671636, 0.573902)","(0.001850, -0.001808, -0.001355)","(0.010609, 0.005414, -0.003682, 0.999922)"
"1697306975152","(-0.044384, 0.413319, 0.243049)","(0.780936, 0.082786, 0.009759, 0.619023)","(-0.131821, 0.240380, 0.014721)","(0.716083, -0.311742, -0.532948, 0.325591)","(-0.028556, 0.249537, -0.019339)","(0.468318, 0.013140, -0.665034, 0.581580)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975168","(-0.044384, 0.413319, 0.243049)","(0.780936, 0.082786, 0.009759, 0.619023)","(-0.131821, 0.240380, 0.014721)","(0.716083, -0.311742, -0.532948, 0.325591)","(-0.028556, 0.249537, -0.019339)","(0.468318, 0.013140, -0.665034, 0.581580)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975189","(-0.044323, 0.413257, 0.243018)","(0.781149, 0.082965, 0.009697, 0.618732)","(-0.131481, 0.239354, 0.014978)","(0.713990, -0.303808, -0.536900, 0.331144)","(-0.028265, 0.249428, -0.019698)","(0.470197, 0.017558, -0.662862, 0.582427)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975216","(-0.044085, 0.413110, 0.243138)","(0.781363, 0.083441, 0.009469, 0.618401)","(-0.131468, 0.239615, 0.015011)","(0.712152, -0.305650, -0.539227, 0.329626)","(-0.028013, 0.249435, -0.019909)","(0.473321, 0.018791, -0.661632, 0.581254)","(0.002426, -0.004557, -0.007225)","(0.017102, -0.015714, -0.002717, 0.999727)"
"1697306975231","(-0.041075, 0.425655, 0.237175)","(0.770022, 0.095531, -0.002596, 0.630820)","(-0.133961, 0.244344, 0.018217)","(0.701016, -0.313317, -0.542263, 0.341116)","(-0.031669, 0.253680, -0.020634)","(0.456097, 0.016783, -0.666518, 0.589447)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975248","(-0.041001, 0.425615, 0.236926)","(0.769996, 0.095685, -0.002709, 0.630827)","(-0.133961, 0.244344, 0.018217)","(0.701016, -0.313317, -0.542263, 0.341116)","(-0.031669, 0.253680, -0.020634)","(0.456097, 0.016783, -0.666518, 0.589447)","(0.000809, -0.002513, -0.003634)","(-0.000950, -0.002417, -0.003407, 0.999991)"
"1697306975279","(-0.043457, 0.427345, 0.241460)","(0.770533, 0.100118, -0.002471, 0.629484)","(-0.136186, 0.245143, 0.023148)","(0.701656, -0.308635, -0.542291, 0.344012)","(-0.034230, 0.256025, -0.016638)","(0.455578, 0.021064, -0.663649, 0.592938)","(0.001733, -0.001511, -0.003696)","(-0.000319, -0.011049, -0.001754, 0.999937)"
"1697306975301","(-0.041163, 0.428324, 0.246701)","(0.770967, 0.108971, -0.010344, 0.627398)","(-0.137896, 0.245682, 0.030747)","(0.691303, -0.298220, -0.552353, 0.357870)","(-0.036891, 0.257471, -0.012327)","(0.447824, 0.026463, -0.666053, 0.595926)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975318","(-0.041161, 0.428198, 0.246746)","(0.770639, 0.109052, -0.010491, 0.627784)","(-0.137847, 0.244649, 0.031641)","(0.683295, -0.285749, -0.558018, 0.374261)","(-0.036948, 0.257013, -0.012532)","(0.446741, 0.024662, -0.664953, 0.598040)","(0.002139, -0.002410, -0.002034)","(-0.005470, -0.005657, 0.002783, 0.999965)"
"1697306975339","(-0.038059, 0.428004, 0.253937)","(0.773807, 0.110528, -0.016212, 0.623494)","(-0.137998, 0.245766, 0.039410)","(0.669309, -0.259026, -0.573611, 0.394844)","(-0.037939, 0.259014, -0.007108)","(0.446425, 0.030820, -0.667224, 0.595456)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975354","(-0.038033, 0.427999, 0.253909)","(0.773698, 0.110556, -0.016361, 0.623619)","(-0.137859, 0.244607, 0.040186)","(0.662958, -0.247876, -0.578381, 0.405611)","(-0.037983, 0.258539, -0.007218)","(0.446338, 0.032223, -0.666261, 0.596524)","(0.001871, -0.002111, -0.000707)","(0.001065, 0.000069, -0.001107, 0.999999)"
"1697306975370","(-0.040862, 0.430490, 0.253649)","(0.772738, 0.111531, -0.015845, 0.624649)","(-0.140273, 0.245695, 0.040448)","(0.661255, -0.247577, -0.577669, 0.409568)","(-0.040374, 0.260011, -0.007301)","(0.446029, 0.031771, -0.664075, 0.599211)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975398","(-0.040876, 0.430582, 0.253825)","(0.772698, 0.111713, -0.016098, 0.624660)","(-0.140202, 0.245222, 0.040449)","(0.662190, -0.250879, -0.575848, 0.408611)","(-0.040322, 0.259773, -0.007428)","(0.446140, 0.032940, -0.662240, 0.601093)","(0.001148, -0.002467, -0.000070)","(-0.006174, 0.003225, -0.000553, 0.999976)"
"1697306975412","(-0.044115, 0.429709, 0.259231)","(0.776118, 0.110802, -0.012757, 0.620646)","(-0.141681, 0.246774, 0.042816)","(0.666964, -0.249407, -0.574842, 0.403128)","(-0.041694, 0.262218, -0.004534)","(0.451713, 0.037938, -0.659380, 0.599778)","(0.001071, -0.003528, -0.000262)","(-0.001587, 0.002263, 0.002369, 0.999993)"
"1697306975429","(-0.044319, 0.432587, 0.260716)","(0.777158, 0.107726, -0.012257, 0.619896)","(-0.141471, 0.250397, 0.043703)","(0.667626, -0.249878, -0.575886, 0.400241)","(-0.041447, 0.265747, -0.003602)","(0.453572, 0.039334, -0.659640, 0.597996)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697306975463","(-0.044310, 0.432484, 0.260811)","(0.776923, 0.107931, -0.012181, 0.620155)","(-0.141448, 0.250460, 0.043694)","(0.667626, -0.249878, -0.575886, 0.400241)","(-0.041424, 0.265810, -0.003610)","(0.453573, 0.039334, -0.659640, 0.597996)","(0.001021, -0.003035, -0.000961)","(0.005714, -0.001450, 0.003623, 0.999976)"
"1697306975479","(-0.041363, 0.438679, 0.256726)","(0.773421, 0.106127, -0.015648, 0.624750)","(-0.140505, 0.254730, 0.042784)","(0.659265, -0.250060, -0.579969, 0.408014)","(-0.040103, 0.268983, -0.005284)","(0.452162, 0.030923, -0.661717, 0.597263)","(0.000284, -0.002395, -0.002103)","(0.002811, -0.003461, -0.002766, 0.999986)"
