"timestamp","scene name","event"
"1697306975023","02-TrackingScene","target_found"
"1697306977068","02-TrackingScene","target_lost"
"1697306977609","02-TrackingScene","target_found"
"1697306983048","02-TrackingScene","Right IndexTip"
"1697306985599","02-TrackingScene","Right IndexTip"
"1697306986119","02-TrackingScene","Right MiddleTip"
"1697306986172","02-TrackingScene","Right IndexTip"
"1697306987001","02-TrackingScene","Right IndexTip"
"1697306987277","02-TrackingScene","Right MiddleTip"
"1697306987374","02-TrackingScene","Right IndexTip"
"1697306988982","02-TrackingScene","Right IndexTip"
"1697306992055","02-TrackingScene","Right IndexTip"
"1697306992467","02-TrackingScene","Right MiddleTip"
"1697306992623","02-TrackingScene","Right IndexTip"
"1697306993828","02-TrackingScene","Right IndexTip"
"1697306994385","02-TrackingScene","Right IndexTip"
"1697306996479","02-TrackingScene","Right IndexTip"
"1697306996480","02-TrackingScene","Right MiddleTip"
"1697306998416","02-TrackingScene","Right IndexTip"
"1697306998880","02-TrackingScene","Right IndexTip"
"1697307000279","02-TrackingScene","Right IndexTip"
"1697307002279","02-TrackingScene","Right IndexTip"
"1697307003779","02-TrackingScene","Right IndexTip"
"1697307004931","02-TrackingScene","Right IndexTip"
"1697307005334","02-TrackingScene","Right MiddleTip"
"1697307005429","02-TrackingScene","Right MiddleTip"
"1697307005465","02-TrackingScene","Right IndexTip"
"1697307007232","02-TrackingScene","Right IndexTip"
"1697307008481","02-TrackingScene","Right MiddleTip"
"1697307010284","02-TrackingScene","Right IndexTip"
"1697307011521","02-TrackingScene","Right MiddleTip"
"1697307013511","02-TrackingScene","Right IndexTip"
"1697307014798","02-TrackingScene","Right IndexTip"
"1697307015196","02-TrackingScene","Right MiddleTip"
"1697307015366","02-TrackingScene","Right IndexTip"
"1697307016545","02-TrackingScene","Right IndexTip"
"1697307016828","02-TrackingScene","Right IndexTip"
"1697307016829","02-TrackingScene","Right MiddleTip"
"1697307017376","02-TrackingScene","Right IndexTip"
"1697307017757","02-TrackingScene","Right MiddleTip"
"1697307019310","02-TrackingScene","Right IndexTip"
"1697307019556","02-TrackingScene","Right MiddleTip"
"1697307019692","02-TrackingScene","Right IndexTip"
"1697307020680","02-TrackingScene","Right IndexTip"
"1697307020936","02-TrackingScene","Right IndexTip"
"1697307021581","02-TrackingScene","Right RingTip"
"1697307021752","02-TrackingScene","Right MiddleTip"
"1697307021754","02-TrackingScene","Right IndexTip"
"1697307021791","02-TrackingScene","Right RingTip"
"1697307021852","02-TrackingScene","Right IndexTip"
"1697307021853","02-TrackingScene","Right MiddleTip"
"1697307021855","02-TrackingScene","Right RingTip"
"1697307022026","02-TrackingScene","Right MiddleTip"
"1697307022203","02-TrackingScene","Right MiddleTip"
"1697307022374","02-TrackingScene","Right IndexTip"
"1697307022717","02-TrackingScene","Right IndexTip"
"1697307023523","02-TrackingScene","Right IndexTip"
"1697307024341","02-TrackingScene","Right IndexTip"
"1697307025155","02-TrackingScene","Right IndexTip"
"1697307026596","02-TrackingScene","Right IndexTip"
"1697307026598","02-TrackingScene","Right MiddleTip"
"1697307026599","02-TrackingScene","Right RingTip"
"1697307028767","02-TrackingScene","Right IndexTip"
"1697307028783","02-TrackingScene","Right MiddleTip"
"1697307028785","02-TrackingScene","Right RingTip"
"1697307028804","02-TrackingScene","Right IndexTip"
"1697307029482","02-TrackingScene","Right IndexTip"
"1697307029484","02-TrackingScene","Right MiddleTip"
"1697307029703","02-TrackingScene","Right IndexTip"
"1697307029705","02-TrackingScene","Right MiddleTip"
"1697307029706","02-TrackingScene","Right RingTip"
"1697307031159","02-TrackingScene","Right IndexTip"
"1697307031249","02-TrackingScene","Right MiddleTip"
"1697307031679","02-TrackingScene","Right IndexTip"
