"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1686255108911","(-0.033320, 0.457315, 0.020937)","(0.700179, 0.008149, -0.001117, 0.713920)","(0.077998, 0.106056, -0.511119)","(0.860372, -0.091645, -0.194736, -0.461994)","(0.144927, 0.088681, -0.457878)","(0.884802, 0.211964, -0.316348, 0.268554)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686255108933","(-0.033320, 0.457315, 0.020937)","(0.700179, 0.008149, -0.001117, 0.713920)","(0.077998, 0.106056, -0.511119)","(0.860372, -0.091645, -0.194736, -0.461994)","(0.144927, 0.088681, -0.457878)","(0.884802, 0.211964, -0.316348, 0.268554)","(-0.001754, 0.002889, -0.000184)","(0.002567, -0.002685, 0.011709, 0.999925)"
"1686255108942","(-0.020891, 0.455310, 0.018274)","(0.698663, 0.003264, -0.009691, 0.715378)","(0.079369, 0.098677, -0.511881)","(0.859897, -0.103453, -0.191387, -0.461785)","(0.146161, 0.080010, -0.458906)","(0.885678, 0.201497, -0.322388, 0.266532)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686255108966","(-0.020891, 0.455310, 0.018274)","(0.698663, 0.003264, -0.009691, 0.715378)","(0.079369, 0.098677, -0.511881)","(0.859897, -0.103453, -0.191387, -0.461785)","(0.146161, 0.080010, -0.458906)","(0.885678, 0.201497, -0.322388, 0.266532)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686255108987","(-0.020950, 0.455370, 0.018624)","(0.699100, 0.004409, -0.008571, 0.714959)","(0.079369, 0.098677, -0.511881)","(0.859897, -0.103453, -0.191387, -0.461785)","(0.146161, 0.080010, -0.458906)","(0.885678, 0.201497, -0.322388, 0.266532)","(-0.000480, 0.003046, -0.000167)","(0.006777, -0.001965, 0.016697, 0.999836)"
"1686255108995","(-0.005321, 0.453039, 0.012526)","(0.694001, -0.005736, -0.021243, 0.719638)","(0.080867, 0.086000, -0.513261)","(0.860782, -0.119998, -0.184634, -0.458874)","(0.147219, 0.065828, -0.460285)","(0.886457, 0.185015, -0.329892, 0.266711)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686255109009","(-0.005321, 0.453039, 0.012526)","(0.694001, -0.005736, -0.021243, 0.719638)","(0.080867, 0.086000, -0.513261)","(0.860782, -0.119998, -0.184634, -0.458874)","(0.147219, 0.065828, -0.460285)","(0.886457, 0.185015, -0.329892, 0.266711)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686255109036","(-0.005340, 0.453268, 0.012285)","(0.694198, -0.005202, -0.020733, 0.719467)","(0.080867, 0.086000, -0.513261)","(0.860782, -0.119998, -0.184634, -0.458874)","(0.147219, 0.065828, -0.460285)","(0.886457, 0.185015, -0.329892, 0.266711)","(0.000321, 0.001260, -0.000237)","(0.001258, -0.002887, 0.005491, 0.999980)"
"1686255109056","(-0.000847, 0.452267, 0.011731)","(0.693329, -0.006546, -0.026903, 0.720089)","(0.078500, 0.082575, -0.513694)","(0.860150, -0.126279, -0.184445, -0.458449)","(0.144932, 0.061807, -0.461050)","(0.886167, 0.180499, -0.334142, 0.265475)","(0.000168, 0.000635, -0.000637)","(-0.000801, 0.000299, 0.002583, 0.999996)"
"1686255109074","(0.001028, 0.451780, 0.013297)","(0.693054, -0.009257, -0.028834, 0.720249)","(0.079064, 0.082356, -0.512878)","(0.859509, -0.128215, -0.183104, -0.459650)","(0.145356, 0.061160, -0.460228)","(0.886943, 0.178398, -0.334417, 0.263955)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686255109105","(0.000790, 0.451915, 0.013517)","(0.691701, -0.010360, -0.029003, 0.721528)","(0.079064, 0.082356, -0.512878)","(0.859509, -0.128215, -0.183104, -0.459650)","(0.145356, 0.061160, -0.460228)","(0.886943, 0.178398, -0.334417, 0.263955)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686255109124","(0.000884, 0.451681, 0.013322)","(0.691166, -0.010703, -0.028932, 0.722037)","(0.079064, 0.082356, -0.512878)","(0.859509, -0.128215, -0.183104, -0.459650)","(0.145356, 0.061160, -0.460228)","(0.886943, 0.178398, -0.334417, 0.263955)","(0.000279, 0.000319, -0.000690)","(-0.003087, 0.001048, 0.001157, 0.999994)"
"1686255109146","(0.001589, 0.451309, 0.016814)","(0.693638, -0.012385, -0.028902, 0.719637)","(0.080050, 0.085014, -0.511506)","(0.858128, -0.128162, -0.182067, -0.462647)","(0.146183, 0.063339, -0.458850)","(0.888309, 0.178126, -0.333240, 0.261016)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686255109150","(0.001589, 0.451300, 0.017060)","(0.693631, -0.012293, -0.028579, 0.719658)","(0.080050, 0.085014, -0.511506)","(0.858128, -0.128162, -0.182067, -0.462647)","(0.146183, 0.063339, -0.458850)","(0.888309, 0.178126, -0.333240, 0.261016)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
