"timestamp","scene name","event"
"1686255108869","02-TrackingScene","target_found"
"1686255108897","02-TrackingScene","Left ThumbTip"
"1686255108898","02-TrackingScene","Left IndexTip"
"1686255108901","02-TrackingScene","Left MiddleTip"
"1686255108903","02-TrackingScene","Left RingTip"
"1686255108905","02-TrackingScene","Left PinkyTip"
"1686255110302","02-TrackingScene","Left Palm"
"1686255110379","02-TrackingScene","Left ThumbTip"
"1686255110381","02-TrackingScene","Left PinkyTip"
"1686255110863","02-TrackingScene","target_lost"
"1686255190917","02-TrackingScene","target_found"
"1686255190929","02-TrackingScene","Right IndexTip"
"1686255191502","02-TrackingScene","Right IndexTip"
"1686255195377","02-TrackingScene","target_lost"
"1686255242972","02-TrackingScene","target_found"
"1686255243321","02-TrackingScene","target_lost"
"1686255247070","02-TrackingScene","target_found"
"1686255247088","02-TrackingScene","Left Palm"
"1686255247090","02-TrackingScene","Left ThumbTip"
"1686255247155","02-TrackingScene","Left Palm"
"1686255247249","02-TrackingScene","Left IndexTip"
"1686255247333","02-TrackingScene","Left Palm"
"1686255247438","02-TrackingScene","Left IndexTip"
"1686255247469","02-TrackingScene","Left ThumbTip"
"1686255249265","02-TrackingScene","Left ThumbTip"
"1686255249306","02-TrackingScene","Left ThumbTip"
"1686255249484","02-TrackingScene","Left IndexTip"
"1686255249882","02-TrackingScene","Left IndexTip"
"1686255250449","02-TrackingScene","Left Palm"
"1686255250652","02-TrackingScene","Left Palm"
"1686255250741","02-TrackingScene","Left Palm"
"1686255251075","02-TrackingScene","Left Palm"
"1686255251135","02-TrackingScene","Left Palm"
"1686255251184","02-TrackingScene","Left Palm"
"1686255251234","02-TrackingScene","Left Palm"
"1686255251392","02-TrackingScene","Left Palm"
"1686255251437","02-TrackingScene","Left Palm"
"1686255251558","02-TrackingScene","Left Palm"
"1686255251586","02-TrackingScene","Left Palm"
"1686255251648","02-TrackingScene","Left Palm"
"1686255251693","02-TrackingScene","Left Palm"
"1686255251817","02-TrackingScene","Left Palm"
"1686255252048","02-TrackingScene","Left Palm"
"1686255252115","02-TrackingScene","Right IndexTip"
"1686255252128","02-TrackingScene","Left ThumbTip"
"1686255252171","02-TrackingScene","Right Palm"
"1686255252184","02-TrackingScene","Left Palm"
"1686255252271","02-TrackingScene","Right PinkyTip"
"1686255252338","02-TrackingScene","Right Palm"
"1686255252408","02-TrackingScene","Right PinkyTip"
