"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1691770550796","(-0.037939, 0.383848, 0.252340)","(-0.386752, 0.577145, 0.643607, -0.321085)","(-0.279552, 0.522984, 0.143134)","(-0.072044, 0.925589, 0.350246, 0.124187)","(-0.314727, 0.431638, 0.146353)","(-0.179967, 0.440661, 0.857438, 0.195526)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691770550819","(-0.038457, 0.384055, 0.252412)","(-0.386830, 0.575795, 0.644672, -0.321282)","(-0.316120, 0.528076, 0.157436)","(-0.164851, 0.880212, 0.441868, 0.052951)","(-0.327671, 0.428473, 0.149205)","(-0.195543, 0.397659, 0.892379, 0.085379)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691770550837","(-0.038918, 0.384381, 0.252356)","(-0.386676, 0.574750, 0.645612, -0.321449)","(-0.316728, 0.528267, 0.157469)","(-0.164851, 0.880212, 0.441868, 0.052951)","(-0.328278, 0.428664, 0.149238)","(-0.195543, 0.397660, 0.892379, 0.085378)","(-0.000441, 0.001097, -0.000550)","(0.000445, -0.001045, 0.005398, 0.999985)"
"1691770550853","(-0.034348, 0.384169, 0.252616)","(-0.382661, 0.575994, 0.648278, -0.318648)","(-0.339329, 0.530963, 0.177978)","(-0.204223, 0.821174, 0.532658, 0.015554)","(-0.336609, 0.429743, 0.152208)","(-0.214565, 0.353445, 0.910103, 0.027395)","(-0.000226, 0.001320, -0.001184)","(0.001319, 0.001626, -0.003680, 0.999991)"
"1691770550880","(-0.038188, 0.383407, 0.252557)","(-0.385490, 0.575858, 0.645869, -0.320372)","(-0.362455, 0.526437, 0.196026)","(-0.223374, 0.749130, 0.623620, -0.002348)","(-0.351595, 0.427394, 0.153566)","(-0.229778, 0.311534, 0.922031, 0.002770)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691770550900","(-0.038947, 0.383699, 0.251842)","(-0.385954, 0.577055, 0.644570, -0.320277)","(-0.382999, 0.520632, 0.224727)","(-0.233914, 0.621660, 0.746219, -0.044493)","(-0.363018, 0.429932, 0.158426)","(-0.235971, 0.264533, 0.934587, -0.029799)","(-0.000664, 0.000971, -0.001903)","(0.001601, 0.000474, -0.001461, 0.999998)"
"1691770550921","(-0.039855, 0.383473, 0.252351)","(-0.387023, 0.579801, 0.640884, -0.321420)","(-0.386957, 0.520842, 0.224957)","(-0.235105, 0.622533, 0.745046, -0.045663)","(-0.366649, 0.429989, 0.158965)","(-0.236752, 0.265698, 0.934005, -0.031417)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691770550934","(-0.040112, 0.383567, 0.252687)","(-0.387812, 0.580660, 0.639853, -0.320974)","(-0.393104, 0.518618, 0.235053)","(-0.231413, 0.573381, 0.781590, -0.082459)","(-0.369873, 0.431881, 0.161594)","(-0.229986, 0.247576, 0.938967, -0.064452)","(-0.000642, 0.000745, -0.001644)","(0.000554, -0.000378, 0.000118, 1.000000)"
"1691770550965","(-0.039508, 0.383292, 0.253699)","(-0.388082, 0.581692, 0.638613, -0.321248)","(-0.393297, 0.516014, 0.244657)","(-0.223326, 0.537878, 0.804984, -0.113200)","(-0.369004, 0.432142, 0.166212)","(-0.220566, 0.238059, 0.941605, -0.089774)","(-0.000572, 0.000363, -0.000365)","(-0.001027, -0.001706, 0.003951, 0.999990)"
"1691770550984","(-0.035649, 0.383147, 0.255011)","(-0.386487, 0.583415, 0.638889, -0.319493)","(-0.390025, 0.520306, 0.252370)","(-0.207287, 0.510062, 0.824125, -0.132990)","(-0.367110, 0.438111, 0.170205)","(-0.210225, 0.231839, 0.943906, -0.105347)","(-0.000130, 0.000125, 0.001119)","(-0.002629, -0.001144, 0.001669, 0.999995)"
"1691770551000","(-0.033729, 0.382111, 0.256228)","(-0.386713, 0.581661, 0.641267, -0.317647)","(-0.387423, 0.522246, 0.257732)","(-0.196302, 0.488825, 0.837028, -0.147986)","(-0.365442, 0.441059, 0.173440)","(-0.202228, 0.227748, 0.945228, -0.117387)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691770551013","(-0.033909, 0.382484, 0.256186)","(-0.387736, 0.581214, 0.641217, -0.317320)","(-0.386599, 0.525060, 0.257978)","(-0.187548, 0.480505, 0.841757, -0.159330)","(-0.365372, 0.443181, 0.173696)","(-0.195613, 0.232637, 0.944227, -0.126697)","(0.000028, -0.000200, 0.001918)","(-0.005683, 0.000244, -0.000835, 0.999984)"
"1691770551052","(-0.034772, 0.379998, 0.258268)","(-0.390708, 0.577520, 0.643660, -0.315470)","(-0.389493, 0.523473, 0.262335)","(-0.189056, 0.475596, 0.844295, -0.158847)","(-0.368089, 0.442593, 0.177138)","(-0.196754, 0.227135, 0.945379, -0.126315)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691770551066","(-0.034832, 0.380254, 0.257792)","(-0.390914, 0.578359, 0.642717, -0.315597)","(-0.390400, 0.528960, 0.260849)","(-0.188103, 0.471495, 0.845232, -0.167011)","(-0.368409, 0.447144, 0.176594)","(-0.195469, 0.233886, 0.943008, -0.133513)","(-0.000180, -0.000009, 0.002268)","(-0.002830, -0.000384, -0.000808, 0.999996)"
"1691770551076","(-0.035067, 0.378808, 0.257481)","(-0.391450, 0.577969, 0.642851, -0.315376)","(-0.390158, 0.532085, 0.259719)","(-0.184453, 0.460407, 0.851003, -0.172616)","(-0.368122, 0.449500, 0.175942)","(-0.193332, 0.240522, 0.941231, -0.137317)","(-0.000145, -0.000321, 0.001759)","(-0.001026, -0.001070, -0.000485, 0.999999)"
"1691770551091","(-0.034729, 0.378775, 0.256352)","(-0.391500, 0.577697, 0.642827, -0.315859)","(-0.389713, 0.536520, 0.257007)","(-0.183478, 0.457649, 0.851550, -0.178204)","(-0.367217, 0.452485, 0.174825)","(-0.192091, 0.250884, 0.938165, -0.141441)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691770551117","(-0.034642, 0.378971, 0.256326)","(-0.391422, 0.578566, 0.642137, -0.315770)","(-0.390355, 0.541244, 0.254264)","(-0.186358, 0.463171, 0.847282, -0.181267)","(-0.367042, 0.455534, 0.174449)","(-0.192453, 0.261047, 0.934981, -0.143623)","(0.000075, -0.000356, 0.001812)","(-0.003985, -0.001612, 0.001468, 0.999990)"
"1691770551130","(-0.032626, 0.377826, 0.257775)","(-0.390291, 0.577694, 0.644407, -0.314137)","(-0.389343, 0.547120, 0.254758)","(-0.189856, 0.460137, 0.849208, -0.176279)","(-0.365912, 0.460897, 0.175828)","(-0.194043, 0.267352, 0.934031, -0.135855)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691770551164","(-0.032598, 0.377907, 0.258317)","(-0.389309, 0.577890, 0.644691, -0.314413)","(-0.389665, 0.549601, 0.251050)","(-0.194629, 0.466541, 0.844178, -0.178392)","(-0.365309, 0.462535, 0.173725)","(-0.194801, 0.275023, 0.931563, -0.136401)","(0.000460, -0.000418, 0.002047)","(-0.003381, -0.001293, 0.002271, 0.999991)"
"1691770551184","(-0.030715, 0.377083, 0.258947)","(-0.386553, 0.576727, 0.647792, -0.313574)","(-0.388337, 0.554579, 0.249107)","(-0.196760, 0.470776, 0.840188, -0.183684)","(-0.363218, 0.466957, 0.172872)","(-0.194130, 0.280439, 0.929447, -0.140702)","(0.000912, -0.000251, 0.001912)","(-0.000723, -0.000176, 0.000328, 1.000000)"
"1691770551199","(-0.031247, 0.377052, 0.257758)","(-0.385199, 0.576847, 0.648256, -0.314061)","(-0.389914, 0.556689, 0.243521)","(-0.204735, 0.480662, 0.831548, -0.188615)","(-0.363140, 0.468385, 0.169219)","(-0.195797, 0.288855, 0.926003, -0.144032)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691770551221","(-0.031258, 0.377198, 0.257846)","(-0.384258, 0.577061, 0.648402, -0.314518)","(-0.392015, 0.558513, 0.240130)","(-0.213549, 0.487057, 0.824700, -0.192467)","(-0.363256, 0.469644, 0.167661)","(-0.199871, 0.296470, 0.922261, -0.146942)","(0.001050, 0.000305, 0.001185)","(0.000755, 0.001128, -0.001470, 0.999998)"
"1691770551233","(-0.034124, 0.377340, 0.256133)","(-0.384923, 0.577462, 0.647431, -0.314968)","(-0.395730, 0.559038, 0.236817)","(-0.215049, 0.487582, 0.823806, -0.193291)","(-0.366547, 0.470144, 0.164548)","(-0.201235, 0.297038, 0.921594, -0.148114)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691770551265","(-0.034051, 0.377459, 0.256035)","(-0.384114, 0.577903, 0.647446, -0.315117)","(-0.398510, 0.559852, 0.234517)","(-0.225786, 0.491967, 0.816748, -0.199782)","(-0.366939, 0.470877, 0.164033)","(-0.204241, 0.301325, 0.918718, -0.153122)","(0.000856, 0.000432, 0.000331)","(0.000266, 0.001336, -0.000874, 0.999999)"
"1691770551280","(-0.036599, 0.377338, 0.255396)","(-0.383944, 0.578917, 0.646748, -0.314896)","(-0.406496, 0.559045, 0.228712)","(-0.249919, 0.493376, 0.809404, -0.197452)","(-0.371303, 0.470549, 0.160847)","(-0.214461, 0.307053, 0.915781, -0.145157)","(0.000844, 0.000297, -0.000054)","(0.000106, 0.001884, -0.000406, 0.999998)"
"1691770551298","(-0.038796, 0.377123, 0.255230)","(-0.384896, 0.579882, 0.645828, -0.313845)","(-0.409077, 0.559592, 0.226773)","(-0.251622, 0.493731, 0.808799, -0.196877)","(-0.373557, 0.471110, 0.159061)","(-0.216294, 0.307337, 0.915284, -0.144973)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1691770551314","(-0.038970, 0.377169, 0.255245)","(-0.385134, 0.580117, 0.645739, -0.313301)","(-0.411433, 0.559645, 0.225090)","(-0.259471, 0.488372, 0.809837, -0.195787)","(-0.374760, 0.471391, 0.158131)","(-0.220755, 0.310199, 0.913961, -0.140424)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
