"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1686332100399","(-0.193606, 0.555896, -0.049111)","(0.563379, 0.066399, 0.043204, 0.822392)","(-0.024708, 0.030202, -0.368004)","(0.980896, 0.023673, 0.067918, -0.180750)","(0.005578, 0.094967, -0.369914)","(0.523354, -0.003135, -0.058578, 0.850094)","(0.002032, -0.001784, -0.011372)","(-0.012872, -0.008121, 0.014647, 0.999777)"
"1686332100420","(-0.179666, 0.563946, -0.020431)","(0.575745, 0.064550, 0.027506, 0.814613)","(-0.031152, 0.042904, -0.361754)","(0.968780, 0.000644, 0.065969, -0.238984)","(0.000980, 0.105495, -0.356227)","(0.536639, -0.000454, -0.077794, 0.840218)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686332100435","(-0.179780, 0.564300, -0.020320)","(0.576432, 0.064729, 0.027723, 0.814106)","(-0.031157, 0.042856, -0.361821)","(0.968780, 0.000644, 0.065969, -0.238984)","(0.000976, 0.105447, -0.356294)","(0.536639, -0.000454, -0.077794, 0.840218)","(0.001750, 0.000308, -0.011544)","(-0.008800, -0.010068, 0.000279, 0.999911)"
"1686332100452","(-0.181388, 0.564353, 0.004794)","(0.583639, 0.072476, 0.022170, 0.808469)","(-0.040446, 0.043260, -0.350508)","(0.981301, -0.013875, 0.054920, -0.183954)","(-0.007325, 0.110003, -0.343352)","(0.541748, 0.009390, -0.088698, 0.835795)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686332100482","(-0.181455, 0.564492, 0.004887)","(0.583615, 0.072541, 0.021816, 0.808490)","(-0.040038, 0.041228, -0.349852)","(0.985337, -0.011613, 0.054882, -0.161136)","(-0.007084, 0.109174, -0.343213)","(0.544072, 0.011290, -0.090784, 0.834037)","(0.002287, -0.001126, -0.010783)","(-0.005228, -0.011274, 0.003541, 0.999917)"
"1686332100499","(-0.179504, 0.566861, 0.025388)","(0.587808, 0.078911, 0.012981, 0.805039)","(-0.048297, 0.046187, -0.336829)","(0.986776, -0.004605, 0.040293, -0.156933)","(-0.015823, 0.114235, -0.331005)","(0.548392, 0.022606, -0.103125, 0.829530)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686332100519","(-0.179663, 0.567009, 0.025102)","(0.587826, 0.078531, 0.012928, 0.805063)","(-0.048282, 0.046098, -0.336901)","(0.986776, -0.004605, 0.040293, -0.156933)","(-0.015808, 0.114146, -0.331077)","(0.548392, 0.022606, -0.103125, 0.829530)","(0.002746, -0.002191, -0.009011)","(0.004760, -0.006785, 0.009604, 0.999920)"
"1686332100535","(-0.171090, 0.572958, 0.030852)","(0.585128, 0.078089, 0.000820, 0.807172)","(-0.050953, 0.044915, -0.327140)","(0.991486, 0.024236, 0.024179, -0.125632)","(-0.020741, 0.114010, -0.323128)","(0.545906, 0.027296, -0.115894, 0.829343)","(0.002109, -0.000789, -0.008037)","(0.001146, -0.004801, 0.006402, 0.999967)"
"1686332100556","(-0.165563, 0.576008, 0.038952)","(0.585136, 0.078083, -0.007222, 0.807135)","(-0.055536, 0.045636, -0.318716)","(0.991869, 0.017312, 0.020194, -0.124453)","(-0.024406, 0.114347, -0.315157)","(0.544556, 0.027649, -0.123852, 0.829069)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1686332100581","(-0.165585, 0.576273, 0.039034)","(0.585383, 0.078190, -0.006804, 0.806949)","(-0.055992, 0.044379, -0.320191)","(0.994434, 0.012335, 0.022555, -0.102178)","(-0.024352, 0.114329, -0.315115)","(0.543605, 0.029230, -0.125344, 0.829414)","(0.002172, -0.001326, -0.007716)","(-0.009445, -0.006833, 0.005762, 0.999916)"
