"timestamp","scene name","event"
"1686332050184","02-TrackingScene","target_found"
"1686332050481","02-TrackingScene","Left IndexTip"
"1686332050482","02-TrackingScene","Left ThumbTip"
"1686332050836","02-TrackingScene","Left IndexTip"
"1686332050878","02-TrackingScene","Left ThumbTip"
"1686332051498","02-TrackingScene","Left ThumbTip"
"1686332052501","02-TrackingScene","Left IndexTip"
"1686332052565","02-TrackingScene","Left IndexTip"
"1686332052788","02-TrackingScene","target_lost"
"1686332100360","02-TrackingScene","target_found"
"1686332102590","02-TrackingScene","target_lost"
"1686332106221","02-TrackingScene","target_found"
"1686332110211","02-TrackingScene","Right IndexTip"
"1686332110282","02-TrackingScene","Right IndexTip"
"1686332111705","02-TrackingScene","Right IndexTip"
"1686332112368","02-TrackingScene","Right IndexTip"
"1686332112935","02-TrackingScene","Right IndexTip"
"1686332113878","02-TrackingScene","Right IndexTip"
"1686332114420","02-TrackingScene","Right RingTip"
"1686332114586","02-TrackingScene","Right IndexTip"
"1686332114832","02-TrackingScene","Right RingTip"
"1686332114886","02-TrackingScene","Right MiddleTip"
"1686332114935","02-TrackingScene","Right RingTip"
"1686332115516","02-TrackingScene","Right IndexTip"
"1686332116280","02-TrackingScene","Right IndexTip"
"1686332117115","02-TrackingScene","Right IndexTip"
"1686332120183","02-TrackingScene","Right IndexTip"
"1686332120916","02-TrackingScene","Right IndexTip"
"1686332121683","02-TrackingScene","Right MiddleTip"
"1686332121721","02-TrackingScene","Right RingTip"
"1686332121779","02-TrackingScene","Right IndexTip"
"1686332122637","02-TrackingScene","Right IndexTip"
"1686332124808","02-TrackingScene","Right IndexTip"
"1686332125516","02-TrackingScene","Right IndexTip"
"1686332127002","02-TrackingScene","Right IndexTip"
"1686332127035","02-TrackingScene","Right ThumbTip"
"1686332127834","02-TrackingScene","Right IndexTip"
"1686332127982","02-TrackingScene","Right IndexTip"
"1686332128774","02-TrackingScene","Right IndexTip"
"1686332129374","02-TrackingScene","Right IndexTip"
"1686332129537","02-TrackingScene","Right IndexTip"
"1686332130233","02-TrackingScene","Right IndexTip"
"1686332130882","02-TrackingScene","Right IndexTip"
"1686332130968","02-TrackingScene","Right IndexTip"
"1686332131584","02-TrackingScene","Right ThumbTip"
"1686332131603","02-TrackingScene","Right IndexTip"
"1686332132305","02-TrackingScene","Right IndexTip"
"1686332132317","02-TrackingScene","Right ThumbTip"
"1686332133078","02-TrackingScene","Right IndexTip"
"1686332133440","02-TrackingScene","Right IndexTip"
"1686332133771","02-TrackingScene","Right IndexTip"
"1686332133839","02-TrackingScene","Right ThumbTip"
"1686332134519","02-TrackingScene","Right IndexTip"
"1686332135140","02-TrackingScene","Right IndexTip"
"1686332135737","02-TrackingScene","Right IndexTip"
"1686332136335","02-TrackingScene","Right ThumbTip"
"1686332136387","02-TrackingScene","Right IndexTip"
"1686332137039","02-TrackingScene","Right IndexTip"
"1686332137722","02-TrackingScene","Right IndexTip"
"1686332137723","02-TrackingScene","Right ThumbTip"
"1686332138281","02-TrackingScene","Right IndexTip"
"1686332138325","02-TrackingScene","Right ThumbTip"
"1686332138984","02-TrackingScene","Right IndexTip"
"1686332139239","02-TrackingScene","Right IndexTip"
"1686332139611","02-TrackingScene","Right IndexTip"
"1686332139679","02-TrackingScene","Right ThumbTip"
"1686332140280","02-TrackingScene","Right ThumbTip"
"1686332140318","02-TrackingScene","Right IndexTip"
"1686332140883","02-TrackingScene","Right IndexTip"
"1686332142241","02-TrackingScene","target_lost"
"1686332145971","02-TrackingScene","target_found"
"1686332147682","02-TrackingScene","Right IndexTip"
"1686332147721","02-TrackingScene","Right IndexTip"
"1686332148239","02-TrackingScene","Right IndexTip"
"1686332148806","02-TrackingScene","Right IndexTip"
"1686332151865","02-TrackingScene","Right IndexTip"
"1686332152585","02-TrackingScene","Right IndexTip"
"1686332153202","02-TrackingScene","Right IndexTip"
"1686332153203","02-TrackingScene","Right ThumbTip"
"1686332153785","02-TrackingScene","Right MiddleTip"
"1686332153787","02-TrackingScene","Right RingTip"
"1686332153836","02-TrackingScene","Right IndexTip"
"1686332155187","02-TrackingScene","Right IndexTip"
"1686332155680","02-TrackingScene","Right IndexTip"
"1686332155733","02-TrackingScene","Right IndexTip"
"1686332156458","02-TrackingScene","Right IndexTip"
"1686332156766","02-TrackingScene","Right IndexTip"
"1686332157166","02-TrackingScene","Right IndexTip"
"1686332157287","02-TrackingScene","Right IndexTip"
"1686332157834","02-TrackingScene","Right IndexTip"
"1686332158371","02-TrackingScene","Right ThumbTip"
"1686332158902","02-TrackingScene","Right IndexTip"
"1686332159619","02-TrackingScene","Right IndexTip"
"1686332160173","02-TrackingScene","Right IndexTip"
"1686332160617","02-TrackingScene","Right IndexTip"
"1686332161767","02-TrackingScene","Right IndexTip"
"1686332162219","02-TrackingScene","Right IndexTip"
"1686332162435","02-TrackingScene","Right IndexTip"
"1686332162502","02-TrackingScene","Right IndexTip"
"1686332163348","02-TrackingScene","Right IndexTip"
"1686332163623","02-TrackingScene","Right IndexTip"
"1686332164092","02-TrackingScene","Right IndexTip"
"1686332165417","02-TrackingScene","Right IndexTip"
"1686332165911","02-TrackingScene","Right IndexTip"
"1686332165938","02-TrackingScene","Right ThumbTip"
"1686332166599","02-TrackingScene","Right IndexTip"
"1686332167218","02-TrackingScene","Right IndexTip"
"1686332167383","02-TrackingScene","Right ThumbTip"
"1686332167736","02-TrackingScene","Right IndexTip"
"1686332167738","02-TrackingScene","Right ThumbTip"
"1686332168356","02-TrackingScene","Right IndexTip"
"1686332168793","02-TrackingScene","Right IndexTip"
"1686332168955","02-TrackingScene","Right IndexTip"
"1686332169265","02-TrackingScene","Right IndexTip"
"1686332169825","02-TrackingScene","Right IndexTip"
"1686332170764","02-TrackingScene","Right IndexTip"
"1686332172331","02-TrackingScene","target_lost"
"1686332176704","02-TrackingScene","target_found"
"1686332176789","02-TrackingScene","Right ThumbTip"
"1686332176803","02-TrackingScene","Right IndexTip"
"1686332177489","02-TrackingScene","Right IndexTip"
"1686332178620","02-TrackingScene","Right IndexTip"
"1686332179605","02-TrackingScene","Right IndexTip"
"1686332179685","02-TrackingScene","Right ThumbTip"
"1686332180686","02-TrackingScene","Right IndexTip"
"1686332181571","02-TrackingScene","Right IndexTip"
"1686332182065","02-TrackingScene","Right IndexTip"
"1686332182555","02-TrackingScene","Right IndexTip"
"1686332182985","02-TrackingScene","Right IndexTip"
"1686332183434","02-TrackingScene","Right IndexTip"
"1686332183890","02-TrackingScene","Right IndexTip"
"1686332184302","02-TrackingScene","Right ThumbTip"
"1686332184320","02-TrackingScene","Right IndexTip"
"1686332184832","02-TrackingScene","Right IndexTip"
"1686332185354","02-TrackingScene","Right IndexTip"
"1686332186033","02-TrackingScene","Right IndexTip"
"1686332186166","02-TrackingScene","Right ThumbTip"
"1686332186788","02-TrackingScene","Right IndexTip"
"1686332186835","02-TrackingScene","Right ThumbTip"
"1686332187417","02-TrackingScene","Right IndexTip"
"1686332188035","02-TrackingScene","Right IndexTip"
"1686332188055","02-TrackingScene","Right ThumbTip"
"1686332188643","02-TrackingScene","Right IndexTip"
"1686332189184","02-TrackingScene","Right ThumbTip"
"1686332189185","02-TrackingScene","Right IndexTip"
"1686332189735","02-TrackingScene","Right IndexTip"
"1686332189769","02-TrackingScene","Right ThumbTip"
"1686332190185","02-TrackingScene","Right ThumbTip"
"1686332190186","02-TrackingScene","Right IndexTip"
"1686332190972","02-TrackingScene","Right IndexTip"
"1686332191106","02-TrackingScene","Right IndexTip"
"1686332191385","02-TrackingScene","Right IndexTip"
"1686332191418","02-TrackingScene","Right ThumbTip"
"1686332192066","02-TrackingScene","Right IndexTip"
"1686332192603","02-TrackingScene","Right IndexTip"
"1686332193337","02-TrackingScene","Right IndexTip"
"1686332193937","02-TrackingScene","Right IndexTip"
"1686332194437","02-TrackingScene","Right IndexTip"
"1686332194984","02-TrackingScene","Right ThumbTip"
"1686332195003","02-TrackingScene","Right IndexTip"
"1686332196544","02-TrackingScene","target_lost"
"1686332200310","02-TrackingScene","target_found"
"1686332202406","02-TrackingScene","Left Palm"
"1686332202554","02-TrackingScene","Left Palm"
"1686332202642","02-TrackingScene","Left Palm"
"1686332203087","02-TrackingScene","Right IndexTip"
"1686332203669","02-TrackingScene","Right IndexTip"
"1686332204189","02-TrackingScene","Right IndexTip"
"1686332204820","02-TrackingScene","Right IndexTip"
"1686332204937","02-TrackingScene","Right IndexTip"
"1686332205434","02-TrackingScene","Right IndexTip"
"1686332205472","02-TrackingScene","Right ThumbTip"
"1686332205558","02-TrackingScene","Right ThumbTip"
"1686332205984","02-TrackingScene","Right IndexTip"
"1686332206503","02-TrackingScene","Right IndexTip"
"1686332207117","02-TrackingScene","Right IndexTip"
"1686332207783","02-TrackingScene","Right IndexTip"
"1686332208282","02-TrackingScene","Right IndexTip"
"1686332208803","02-TrackingScene","Right IndexTip"
"1686332209369","02-TrackingScene","Right IndexTip"
"1686332210318","02-TrackingScene","Right IndexTip"
"1686332210404","02-TrackingScene","Right IndexTip"
"1686332211267","02-TrackingScene","Right IndexTip"
"1686332213367","02-TrackingScene","Right IndexTip"
