"timestamp","cam_pos","cam_rot","rif_pos","rif_rot","rpa_pos","rpa_rot","act_pos","act_rot"
"1697309597376","(-0.144798, 0.521693, 0.186220)","(0.695719, 0.187030, -0.113147, 0.684246)","(-0.304370, -0.051166, -0.041388)","(0.660949, 0.114171, -0.267857, 0.691639)","(-0.262299, 0.043157, -0.091049)","(0.479678, 0.150232, -0.344403, 0.792922)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697309597392","(-0.144640, 0.524600, 0.186635)","(0.694809, 0.184950, -0.114732, 0.685472)","(-0.304370, -0.051166, -0.041388)","(0.660949, 0.114171, -0.267857, 0.691639)","(-0.262299, 0.043157, -0.091049)","(0.479678, 0.150232, -0.344403, 0.792922)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697309597415","(-0.144561, 0.527440, 0.186633)","(0.692544, 0.182940, -0.116130, 0.688063)","(-0.304370, -0.051166, -0.041388)","(0.660949, 0.114171, -0.267857, 0.691639)","(-0.262299, 0.043157, -0.091049)","(0.479678, 0.150232, -0.344403, 0.792922)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697309597433","(-0.143791, 0.533033, 0.188264)","(0.689281, 0.179711, -0.119664, 0.691576)","(-0.304370, -0.051166, -0.041388)","(0.660949, 0.114171, -0.267857, 0.691639)","(-0.262299, 0.043157, -0.091049)","(0.479678, 0.150232, -0.344403, 0.792922)","(-0.004506, 0.005784, -0.001129)","(-0.006352, -0.000365, -0.006355, 0.999960)"
"1697309597461","(-0.145761, 0.522642, 0.196244)","(0.691185, 0.185366, -0.113570, 0.689206)","(-0.299149, -0.060242, -0.040785)","(0.664492, 0.120320, -0.262967, 0.689073)","(-0.258320, 0.035231, -0.089270)","(0.483615, 0.155750, -0.338571, 0.791977)","(-0.009761, 0.017359, -0.002834)","(-0.007857, 0.007460, -0.018391, 0.999772)"
"1697309597494","(-0.156454, 0.501169, 0.206575)","(0.689859, 0.188077, -0.094510, 0.692668)","(-0.235724, -0.017920, -0.105906)","(0.548028, 0.239068, -0.248778, 0.761985)","(-0.216614, 0.084635, -0.161645)","(0.507648, 0.232007, -0.315007, 0.767618)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697309597512","(-0.155520, 0.502407, 0.207703)","(0.686525, 0.184644, -0.093563, 0.697020)","(-0.235724, -0.017920, -0.105906)","(0.548028, 0.239068, -0.248778, 0.761985)","(-0.216614, 0.084635, -0.161645)","(0.507648, 0.232007, -0.315007, 0.767618)","(-0.005208, 0.011849, -0.000468)","(-0.004538, 0.009594, -0.018514, 0.999772)"
"1697309597519","(-0.170957, 0.485065, 0.211393)","(0.681985, 0.186249, -0.074380, 0.703332)","(-0.231103, -0.030854, -0.108393)","(0.587401, 0.215794, -0.217605, 0.749027)","(-0.213225, 0.071896, -0.162747)","(0.497118, 0.222524, -0.285930, 0.788417)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
"1697309597548","(-0.170957, 0.485065, 0.211393)","(0.681985, 0.186249, -0.074380, 0.703332)","(-0.231103, -0.030854, -0.108393)","(0.587401, 0.215794, -0.217605, 0.749027)","(-0.213225, 0.071896, -0.162747)","(0.497118, 0.222524, -0.285930, 0.788417)","(0.003424, -0.010438, -0.007574)","(-0.001178, -0.014588, 0.041068, 0.999049)"
"1697309597577","(-0.126093, 0.507607, 0.225092)","(0.686561, 0.166819, -0.115477, 0.698191)","(-0.236254, 0.001336, -0.092297)","(0.613038, 0.191067, -0.256790, 0.722313)","(-0.211035, 0.102650, -0.146407)","(0.500852, 0.212255, -0.321788, 0.774950)","(0.000000, 0.000000, 0.000000)","(0.000000, 0.000000, 0.000000, 1.000000)"
