"timestamp","scene name","event"
"1697309597256","02-TrackingScene","target_found"
"1697309598915","02-TrackingScene","target_lost"
"1697309602831","02-TrackingScene","target_found"
"1697309603090","02-TrackingScene","Right IndexTip"
"1697309603941","02-TrackingScene","Right IndexTip"
"1697309604829","02-TrackingScene","Right IndexTip"
"1697309606141","02-TrackingScene","Right IndexTip"
"1697309607076","02-TrackingScene","Right IndexTip"
"1697309608444","02-TrackingScene","Right IndexTip"
"1697309609612","02-TrackingScene","Right IndexTip"
"1697309610527","02-TrackingScene","Right IndexTip"
"1697309610713","02-TrackingScene","Right MiddleTip"
"1697309612226","02-TrackingScene","Right IndexTip"
"1697309613454","02-TrackingScene","Right IndexTip"
"1697309614223","02-TrackingScene","Right IndexTip"
"1697309615323","02-TrackingScene","Right IndexTip"
"1697309616638","02-TrackingScene","Right IndexTip"
"1697309617091","02-TrackingScene","Right IndexTip"
"1697309618188","02-TrackingScene","Right IndexTip"
"1697309619108","02-TrackingScene","Right IndexTip"
"1697309620440","02-TrackingScene","Right IndexTip"
"1697309621546","02-TrackingScene","Right IndexTip"
"1697309622365","02-TrackingScene","target_lost"
"1697309623526","02-TrackingScene","target_found"
"1697309623547","02-TrackingScene","Right IndexTip"
"1697309624235","02-TrackingScene","Right IndexTip"
"1697309624582","02-TrackingScene","Right IndexTip"
"1697309626651","02-TrackingScene","Right IndexTip"
"1697309627489","02-TrackingScene","Right IndexTip"
"1697309628977","02-TrackingScene","Right IndexTip"
"1697309630280","02-TrackingScene","Right IndexTip"
"1697309632047","02-TrackingScene","Right IndexTip"
"1697309633128","02-TrackingScene","Right IndexTip"
"1697309634704","02-TrackingScene","Right IndexTip"
"1697309635831","02-TrackingScene","Right IndexTip"
"1697309637278","02-TrackingScene","Right IndexTip"
"1697309639019","02-TrackingScene","Right IndexTip"
"1697309641237","02-TrackingScene","Right IndexTip"
"1697309642833","02-TrackingScene","Right IndexTip"
"1697309644590","02-TrackingScene","Right IndexTip"
"1697309645046","02-TrackingScene","Right IndexTip"
"1697309646161","02-TrackingScene","Right IndexTip"
"1697309646419","02-TrackingScene","Right MiddleTip"
"1697309647785","02-TrackingScene","Right IndexTip"
"1697309648530","02-TrackingScene","Right IndexTip"
"1697309650040","02-TrackingScene","Right IndexTip"
"1697309650622","02-TrackingScene","Right MiddleTip"
"1697309650803","02-TrackingScene","Right MiddleTip"
"1697309651507","02-TrackingScene","Right IndexTip"
